profile,sample_count,random_seed,energy_unit,d_min_ms,deadline_ratio,deadline_ms,epsilon,epsilon_min,discretionary_budget,n_discretionary_drops,status,p1_energy_mean,p2_energy_mean,p2_saving_percent,boundary_saving_lambda,additional_saving_percent_per_0_1pct_budget
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.2,42.0,0.001,0.0319055,-0.030905500000000002,-61811.00000000001,infeasible,0.07550193416252089,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.2,42.0,0.0025,0.0319055,-0.029405500000000005,-58811.00000000001,infeasible,0.07550193416252089,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.2,42.0,0.005,0.0319055,-0.026905500000000002,-53811.00000000001,infeasible,0.07550193416252089,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.2,42.0,0.0075,0.0319055,-0.024405500000000004,-48811.00000000001,infeasible,0.07550193416252089,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.2,42.0,0.01,0.0319055,-0.0219055,-43811.0,infeasible,0.07550193416252089,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.35,47.25,0.001,0.005008,-0.004008,-8016.000000000001,infeasible,0.06370889375207123,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.35,47.25,0.0025,0.005008,-0.0025080000000000002,-5016.000000000001,infeasible,0.06370889375207123,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.35,47.25,0.005,0.005008,-8.000000000000194e-06,-16.000000000000387,infeasible,0.06370889375207123,NaN,NaN,NaN,NaN
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.35,47.25,0.0075,0.005008,0.0024919999999999994,4983.999999999999,feasible,0.06370889375207123,0.06306512231796997,1.0104891109968803,0.2577331815815145,0.4042241901492026
"synthetic_alexnet_scale|energy_scale=normal:1,boost:1.64",2000000,20260731,J,35.0,1.35,47.25,0.01,0.005008,0.004992,9984.0,feasible,0.06370889375207123,0.06242199437436685,2.0199681738509874,0.25681148665403875,0.40283545460010817
