N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I1_energy_j_mean,I1_energy_j_std,J1_energy_j_mean,J1_energy_j_std,I2_energy_j_mean,I2_energy_j_std,J2_energy_j_mean,J2_energy_j_std,server_only_percent_mean,server_only_percent_std,targeting_indep_percent_mean,targeting_indep_percent_std,targeting_joint_percent_mean,targeting_joint_percent_std,interaction_percent_points_mean,interaction_percent_points_std,total_percent_mean,total_percent_std,identity_error_percent_points_mean,identity_error_percent_points_std,I1_violation_rate_mean_mean,I1_violation_rate_mean_std,J1_violation_rate_mean_mean,J1_violation_rate_mean_std,I2_violation_rate_mean_mean,I2_violation_rate_mean_std,J2_violation_rate_mean_mean,J2_violation_rate_mean_std,I2_violation_spread_mean,I2_violation_spread_std,J2_violation_spread_mean,J2_violation_spread_std,I2_jain_index_mean,I2_jain_index_std,J2_jain_index_mean,J2_jain_index_std,J2_heuristic_selected_mean,J2_heuristic_selected_std,J2_I2_guard_selected_mean,J2_I2_guard_selected_std,J2_J1_guard_selected_mean,J2_J1_guard_selected_std,J2_repair_success_mean,J2_repair_success_std,seed_count
2,common,0.0,1.2,0.05,drop,0.22915737529819938,0.0009205675916275914,0.2062329939866847,0.0007871980622841521,0.20672679676534406,0.0007925036494573266,0.17382090269085163,0.0019595020807219943,10.00369104619945,0.05934239589640279,9.787963034310302,0.22944820401773403,14.145135924798193,0.7047385032730333,4.3571728904878935,0.7451744290261844,24.148826970997646,0.680119540622325,1.7763568394002506e-16,1.9548894673963912e-15,0.021558,0.0007212612410061824,0.021558,0.0007212612410061824,0.05,0.0,0.04743,0.002713890196747098,0.0,0.0,0.005140000000000001,0.005427780393494197,1.0,0.0,0.9935045254523682,0.006903037608216355,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.2,0.05,late,0.23670396746464012,0.0008199303742463268,0.21377958615312545,0.0006948183938462591,0.22039726401353588,0.0008068654077459986,0.18484471359443502,0.001150253606046297,9.684755040505902,0.06102738519290414,6.888995322558368,0.1660643041058322,12.224359871605369,0.38949044738108257,5.335364549047001,0.4407308480368361,21.90911491211127,0.35589264038132523,7.105427357601002e-16,2.2469334198890887e-15,0.021558,0.0007212612410061824,0.021558,0.0007212612410061824,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.2,0.15,drop,0.22915737529819938,0.0009205675916275914,0.2062329939866847,0.0007871980622841521,0.12910143219022324,0.0007829317538741554,0.11077513414196391,0.001431094528396843,10.00369104619945,0.05934239589640279,43.66271179273201,0.21096400384102537,41.65564151690414,0.6094558577746535,-2.007070275827877,0.6334243478124644,51.65933256310359,0.6345663413551367,2.1316282072803005e-15,3.432247492722581e-15,0.021558,0.0007212612410061824,0.021558,0.0007212612410061824,0.15,0.0,0.144928,0.004058222927998576,0.0,0.0,0.010143999999999997,0.008116445855997155,1.0,0.0,0.997970843610862,0.0022522762144735796,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.2,0.15,late,0.23670396746464012,0.0008199303742463268,0.21377958615312545,0.0006948183938462591,0.16710663070508933,0.0007523181025653958,0.14356550525325248,0.0007116201891765975,9.684755040505902,0.06102738519290414,29.40281267005444,0.1484187987205317,29.663459531318914,0.16957509774376286,0.26064686126447223,0.08661964915288428,39.34821457182481,0.1666036214881765,-7.105427357601002e-16,4.367253560764504e-15,0.021558,0.0007212612410061824,0.021558,0.0007212612410061824,0.15,0.0,0.14035599999999998,0.0007472646415055644,0.0,0.0,0.019287999999999993,0.0014945292830111335,1.0,0.0,0.9952689732178742,0.0007737798084497772,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.35,0.05,drop,0.16850785853154635,0.0005319707685316301,0.1547855715656629,0.00047314725386641974,0.1314905461472042,0.0005999864174161653,0.11789082618565186,0.00032791756185880975,8.143330132715507,0.10594282240518459,21.967978543749474,0.13751144183456432,21.894678169039942,0.2289359157638346,-0.07330037470953599,0.3071040307302918,30.038008301755447,0.21718960270503493,0.0,2.3684757858670005e-15,0.0033099999999999996,0.00022075627586397913,0.0033099999999999996,0.00022075627586397913,0.05,0.0,0.049368,0.00046709028392092944,0.0,0.0,0.0012640000000000025,0.0009341805678418584,1.0,0.0,0.9997522050655281,0.00020995484033991976,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.35,0.05,late,0.16972694607187322,0.0005597179675990117,0.15600465910598976,0.0004989311743987134,0.1463776263910696,0.0005991378194352403,0.1322676391430109,0.0004128170892450511,8.084839219871013,0.10485198059845381,13.757180361688427,0.08536297140336385,13.985383272347468,0.09578688731723493,0.22820291065904108,0.12196187566422739,22.07022249221848,0.11310900095835306,-3.552713678800501e-16,1.632359285026797e-15,0.0033099999999999996,0.00022075627586397913,0.0033099999999999996,0.00022075627586397913,0.05,0.0,0.047095000000000005,0.00022794979954172162,0.0,0.0,0.0058100000000000035,0.0004558995990834438,1.0,0.0,0.9961834167810313,0.0006493351814513561,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.35,0.15,drop,0.16850785853154635,0.0005319707685316301,0.1547855715656629,0.00047314725386641974,0.08783522957208337,0.0003842804696537583,0.08436999909401467,0.00037011119425152167,8.143330132715507,0.10594282240518459,47.8747655866512,0.1312746138500618,41.787877770464334,0.14178477289044503,-6.086887816186868,0.10247122667296459,49.93120790317984,0.11592412640564097,-7.105427357601002e-16,7.065842496073694e-15,0.0033099999999999996,0.00022075627586397913,0.0033099999999999996,0.00022075627586397913,0.15,0.0,0.149945,7.027722880769828e-05,0.0,0.0,0.00010999999999999621,0.00014055445761538318,1.0,0.0,0.9999996673454117,4.965349974835283e-07,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.35,0.15,late,0.16972694607187322,0.0005597179675990117,0.15600465910598976,0.0004989311743987134,0.12397236911591239,0.00041784336266197493,0.11877857480174844,0.0003655986558356424,8.084839219871013,0.10485198059845381,26.95772145450445,0.09139765583622493,21.932886300640423,0.08245341360718397,-5.02483515386403,0.0761398512374455,30.01772552051143,0.10846993316116318,-3.552713678800501e-16,2.0166844627935157e-15,0.0033099999999999996,0.00022075627586397913,0.0033099999999999996,0.00022075627586397913,0.15,0.0,0.133948,0.00037732391036526727,0.0,0.0,0.032103999999999994,0.0007546478207305281,1.0,0.0,0.9858321934124792,0.000738886561917515,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.5,0.05,drop,0.13547760199234654,0.0005012176602615493,0.1315756579547269,0.0003867618010432061,0.11111845006767754,0.00034026542828906054,0.11054134246265272,0.000785339675698296,2.879849369332067,0.12212137416560068,17.979874645981845,0.1771229535407776,15.526385694104949,0.5217281843965171,-2.4534889518768965,0.6159017710979192,18.406235063437016,0.4852788888649918,7.105427357601002e-16,2.5399073172999938e-15,0.0,0.0,0.0,0.0,0.05,0.0,0.049988000000000005,3.794733192202194e-05,0.0,0.0,2.400000000000041e-05,7.58946638440424e-05,1.0,0.0,0.9999994212285646,1.8302359806459756e-06,0.4,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,1.0,0.0,10
2,common,0.0,1.5,0.05,late,0.13547760199234654,0.0005012176602615493,0.1315756579547269,0.0003867618010432061,0.12363721794631202,0.0003772043179739473,0.12090430238200386,0.00032467400387779034,2.879849369332067,0.12212137416560068,8.739471446925357,0.1303645088718289,7.8767169198029165,0.0744766609654477,-0.8627545271224413,0.07792928634948768,10.756566289134984,0.17472909131378048,-3.552713678800501e-16,7.489778066296962e-16,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.5,0.15,drop,0.13547760199234654,0.0005012176602615493,0.1315756579547269,0.0003867618010432061,0.07829308549255672,0.00033047295589372236,0.07645952707440334,0.00030948960803368203,2.879849369332067,0.12212137416560068,42.20950990090877,0.14795343792851337,40.68301706924728,0.10373309043254779,-1.5264928316614956,0.10855347093052828,43.56286643857934,0.14951002103810274,-2.1316282072803005e-15,3.432247492722581e-15,0.0,0.0,0.0,0.0,0.15,0.0,0.149992,2.5298221281345533e-05,0.0,0.0,1.599999999999935e-05,5.059644256269201e-05,1.0,0.0,0.9999999715251986,9.004522826027929e-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.0,1.5,0.15,late,0.13547760199234654,0.0005012176602615493,0.1315756579547269,0.0003867618010432061,0.11256654829328774,0.00033433489615839336,0.11183208220702001,0.0003076326845606931,2.879849369332067,0.12212137416560068,16.911046112493278,0.1315199866379487,14.573264490861074,0.057886196882510565,-2.337781621632203,0.11036281409587378,17.453113860193145,0.14298108867449028,7.105427357601002e-16,1.2420391804470318e-15,0.0,0.0,0.0,0.0,0.15,0.0,0.139808,0.0002506790777069378,0.0,0.0,0.020383999999999992,0.0005013581554138732,1.0,0.0,0.9947100124385241,0.00027788120394652146,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.75,1.2,0.05,drop,0.2306569167961038,0.0018176862235112841,0.20755796076896144,0.001693085682829529,0.20853850874813565,0.0020563836080572514,0.17405274586951697,0.001248726756924315,10.01457594848076,0.07325249062528319,9.590465780445033,0.23135797578689943,14.52445634834653,0.4256856492998634,4.933990567901498,0.5253827735879568,24.53903229682729,0.41558818245262347,0.0,2.2155062298961195e-15,0.021956,0.0005524732271039625,0.021956,0.0005524732271039625,0.05,0.0,0.048627000000000004,0.002247631098635973,0.0,0.0,0.0027460000000000006,0.004495262197271949,1.0,0.0,0.996888398898953,0.0053553080664400345,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.75,1.2,0.05,late,0.23834296338011846,0.0019145506535197497,0.21524400735297608,0.001787473218630294,0.22226038255173036,0.0021000985190472183,0.18544776224163118,0.0015307303403778512,9.691635133260133,0.07048536731443769,6.748563499740113,0.16556364278894609,12.500960498507888,0.2937540229883875,5.752396998767774,0.3383456412908968,22.19259563176802,0.27138189781153854,-3.552713678800501e-16,2.3386824516236378e-15,0.021956,0.0005524732271039625,0.021956,0.0005524732271039625,0.05,0.0,0.049901,0.00030956779907190317,0.0,0.0,0.00019800000000000096,0.0006191355981438073,1.0,0.0,0.9999600445990025,0.0001263360124130675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.75,1.2,0.15,drop,0.2306569167961038,0.0018176862235112841,0.20755796076896144,0.001693085682829529,0.13089316701194018,0.002028341154762552,0.11196196682217312,0.001547977310902596,10.01457594848076,0.07325249062528319,43.25495994599789,0.4460139219645792,41.44533685269006,0.49117851105821914,-1.809623093307824,0.5654360028763984,51.45991280117082,0.5145728492674897,-2.1316282072803005e-15,4.795797946929901e-15,0.021956,0.0005524732271039625,0.021956,0.0005524732271039625,0.15,0.0,0.143614,0.0030072844893691097,0.0,0.0,0.012771999999999995,0.006014568978738211,1.0,0.0,0.997572245189082,0.001795319020618999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
2,common,0.75,1.2,0.15,late,0.23834296338011846,0.0019145506535197497,0.21524400735297608,0.001787473218630294,0.1688582948254965,0.0020142549680406945,0.1451250088069523,0.0017986859304869008,9.691635133260133,0.07048536731443769,29.155177422600993,0.28607361691574384,29.421052365660795,0.2634583589808301,0.26587494305980747,0.0861935328034452,39.112687498920934,0.2827067924804665,1.0658141036401502e-15,4.751731487748354e-15,0.021956,0.0005524732271039625,0.021956,0.0005524732271039625,0.15,0.0,0.139176,0.0012068710692438402,0.0,0.0,0.021647999999999994,0.0024137421384876835,1.0,0.0,0.993900968462458,0.0014312161120560087,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
