N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,8e522b0d9a533ce1b7969670f8a11ff590802fb5604a291eca6588c0c1f55a20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,c8140772344da3c2b02fdabbeb5cb469952379fcc0892ee9083b3521f6882525
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,26cf9330c36fef2372281816949d1c3fffd3377c33ff4c3b48686369010d5217
2,independent,0.0,1704,1.2,53.988,44.99,0.05,drop,ecff273851aa9538c16ae8ce7ee576f83c67b0e53f32b04c5cc36f2b12cb2b29
2,independent,0.0,1705,1.2,53.988,44.99,0.05,drop,1030fdf7049f26573890548ebc349e21eadd4693889874ab377543a18b5284ba
2,independent,0.0,1706,1.2,53.988,44.99,0.05,drop,95bad14a76238b19481e76fc009115ca2f55ee722a3ac94c8025a60ec2a51043
2,independent,0.0,1707,1.2,53.988,44.99,0.05,drop,8a2e93c6a2f29240d384212fb6c0b67966da5bbcc9a6a6b28708cca55805e298
2,independent,0.0,1708,1.2,53.988,44.99,0.05,drop,9562c7c7f219c2c4409709a5b192501b2b545f2a2039b9980c1302ba8c35559a
2,independent,0.0,1709,1.2,53.988,44.99,0.05,drop,ae9886b3fd112c8699d45093cd74293c9b4e11fec99cad83605cbd3dcde892fd
2,independent,0.0,1710,1.2,53.988,44.99,0.05,drop,5c7510df070799dadc7de28aca1ce7a377f81d522903e8e451324d1fb4251094
2,independent,0.75,1701,1.2,53.988,44.99,0.05,drop,050bcc77516068d8bfd277140fb1044d76225783a637cf92f61ad2ac72488e80
2,independent,0.75,1702,1.2,53.988,44.99,0.05,drop,b0879e947448aec7b1332c76f63aa712e56a654298d57c0b91d9714470f16a34
2,independent,0.75,1703,1.2,53.988,44.99,0.05,drop,c98b82c536cb777429eb59c22830873e47ebc65ae6982312de4153dab57fb39e
2,independent,0.75,1704,1.2,53.988,44.99,0.05,drop,9402d29803782ca2c0b2055be758478fedb5505d516176bfe9143f9d6e0d0179
2,independent,0.75,1705,1.2,53.988,44.99,0.05,drop,74de9a340429c48a5fe944794256f94b796abd3cf47a480f056ebfca865b2963
2,independent,0.75,1706,1.2,53.988,44.99,0.05,drop,1e7f74408145f185f6b1ca19b96c8a8263026839a0a439ddcfbfdfc6bf35e4d4
2,independent,0.75,1707,1.2,53.988,44.99,0.05,drop,d7e7b33a05ecdf1bebfd3e2c41e7a363836e0929fd815141a1a115180dc7dbfe
2,independent,0.75,1708,1.2,53.988,44.99,0.05,drop,8c754e32bc4d9a7074546633b71e79e8e63bf4748680c1b96567ed6d1c7ba3c5
2,independent,0.75,1709,1.2,53.988,44.99,0.05,drop,6f1d7098ab6c315d706c547eee8b670dd52be60fa3d443e7d9d0beddfe0985fb
2,independent,0.75,1710,1.2,53.988,44.99,0.05,drop,5ca9b8b514372df36422026f716cdd0372ba81aa22077eac9ce68f45eb226a81
2,independent,0.975,1701,1.2,53.988,44.99,0.05,drop,e5d45c9ed36d7bccc52e93c011cfac0e40f0c377442f62cd077f2a644853ebcb
2,independent,0.975,1702,1.2,53.988,44.99,0.05,drop,6812850b51a7f54a8a3527b7c2357434f9ddb49a28e569d039dd65a19d095659
2,independent,0.975,1703,1.2,53.988,44.99,0.05,drop,2506f844530bff66c9c7ec7bcb8336daa0d1683d082efd579056bd725c041187
2,independent,0.975,1704,1.2,53.988,44.99,0.05,drop,3c135a356827addec00f81da6b3591912bacf0315a6736f524aefb6694985a2b
2,independent,0.975,1705,1.2,53.988,44.99,0.05,drop,8df81aad2a717737e30a4292fc1e50c06d6a9c40409abc03f1278a18d4e77187
2,independent,0.975,1706,1.2,53.988,44.99,0.05,drop,b0824569169bc88cc0954796c14ab2ea39835001956da4d6f789ffc6442a75b2
2,independent,0.975,1707,1.2,53.988,44.99,0.05,drop,a8c29abb714c6477b22d39e868655654f2fb6d2886b2836b9385eadf2e886af9
2,independent,0.975,1708,1.2,53.988,44.99,0.05,drop,ada40abcba5b55542fa85621be94b05514c7f6090ed2d6cf2275f138d4e7dd45
2,independent,0.975,1709,1.2,53.988,44.99,0.05,drop,dd14d1f7aed80a9622ea3252c60b046bc46510b3a2f54c2fb0444d2d9316cbcd
2,independent,0.975,1710,1.2,53.988,44.99,0.05,drop,b5a7f156b984bfa4ec5b147378547025923a12cfbfe85432fbe3356cdab79669
2,common,0.0,1701,1.2,53.988,44.99,0.05,drop,73013c33dc1d7c6d455354b43a38e6cff95e0c0bb4dd579db6ac04063fc9b66b
2,common,0.0,1702,1.2,53.988,44.99,0.05,drop,b15fc2bc136fc3d4231642a0b84283b109aa86d5f7787c54cfab684d677f59cf
2,common,0.0,1703,1.2,53.988,44.99,0.05,drop,f2e77b8e236458df6b0d2fb90087642118997f7b8f2c26fe79b4b46f050719ce
2,common,0.0,1704,1.2,53.988,44.99,0.05,drop,2d5b1894255a5fa57da86b83732724df92cf31614119f377df368342f505a194
2,common,0.0,1705,1.2,53.988,44.99,0.05,drop,a8366c19e6e3b6fd978a9a18e44449ae2e5367d0c819d943bb7b7a8411254552
2,common,0.0,1706,1.2,53.988,44.99,0.05,drop,1d872a0e512f9b69293f423bf0e6f2837a04505f4dad2d3c76693f5b0f88a1ab
2,common,0.0,1707,1.2,53.988,44.99,0.05,drop,b5a85e12019612bd05313a086779353859024bf6b4c82b3d7335f09c66977187
2,common,0.0,1708,1.2,53.988,44.99,0.05,drop,a747f761962b9636970a1364379889aed27a6bcd0c992299e4e92b8442fa8c1f
2,common,0.0,1709,1.2,53.988,44.99,0.05,drop,3513541b0baefec91f6925b89aa578a632d20b7ff973c9edc795efa78a048911
2,common,0.0,1710,1.2,53.988,44.99,0.05,drop,9c67405af5dfc1b66aa69f54d6f8b8da8a4b3490dacabe09c2829957e30e620b
2,common,0.75,1701,1.2,53.988,44.99,0.05,drop,f8fab1ba95ab922a2a119388ff824a1c3364163c63a47598a519e4f0e6516741
