N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,10.544250499995542,50000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,11.575187999987975,50000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,1.3117764000053285,50000,20
2,independent,0.0,1704,1.2,53.988,44.99,0.05,drop,1.2190322000096785,50000,20
2,independent,0.0,1705,1.2,53.988,44.99,0.05,drop,1.1972080000123242,50000,20
2,independent,0.0,1706,1.2,53.988,44.99,0.05,drop,2.12685230000352,50000,20
2,independent,0.0,1707,1.2,53.988,44.99,0.05,drop,3.437058999988949,50000,20
2,independent,0.0,1708,1.2,53.988,44.99,0.05,drop,5.326092400006019,50000,20
2,independent,0.0,1709,1.2,53.988,44.99,0.05,drop,1.184202100004768,50000,20
2,independent,0.0,1710,1.2,53.988,44.99,0.05,drop,1.1932355999888387,50000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.05,drop,1.2101235000009183,50000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.05,drop,2.5462790000019595,50000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.05,drop,9.816935800001374,50000,20
2,independent,0.75,1704,1.2,53.988,44.99,0.05,drop,11.088466899993364,50000,20
2,independent,0.75,1705,1.2,53.988,44.99,0.05,drop,1.180923799998709,50000,20
2,independent,0.75,1706,1.2,53.988,44.99,0.05,drop,11.38533410000673,50000,20
2,independent,0.75,1707,1.2,53.988,44.99,0.05,drop,2.5198961999994935,50000,20
2,independent,0.75,1708,1.2,53.988,44.99,0.05,drop,10.276753000012832,50000,20
2,independent,0.75,1709,1.2,53.988,44.99,0.05,drop,1.9412157999904593,50000,20
2,independent,0.75,1710,1.2,53.988,44.99,0.05,drop,1.205003699986264,50000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.05,drop,1.212898600002518,50000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.05,drop,1.1866933999990579,50000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.05,drop,7.480408599993098,50000,20
2,independent,0.975,1704,1.2,53.988,44.99,0.05,drop,2.6867399999900954,50000,20
2,independent,0.975,1705,1.2,53.988,44.99,0.05,drop,1.2543216999911238,50000,20
2,independent,0.975,1706,1.2,53.988,44.99,0.05,drop,1.1964532999991206,50000,20
2,independent,0.975,1707,1.2,53.988,44.99,0.05,drop,1.1875296000071103,50000,20
2,independent,0.975,1708,1.2,53.988,44.99,0.05,drop,3.5932267000025604,50000,20
2,independent,0.975,1709,1.2,53.988,44.99,0.05,drop,2.8940270000020973,50000,20
2,independent,0.975,1710,1.2,53.988,44.99,0.05,drop,1.1807059999991907,50000,20
2,common,0.0,1701,1.2,53.988,44.99,0.05,drop,5.851159500001813,50000,20
2,common,0.0,1702,1.2,53.988,44.99,0.05,drop,2.905321300000651,50000,20
2,common,0.0,1703,1.2,53.988,44.99,0.05,drop,2.766319400005159,50000,20
2,common,0.0,1704,1.2,53.988,44.99,0.05,drop,2.67923530000553,50000,20
2,common,0.0,1705,1.2,53.988,44.99,0.05,drop,4.348570599991945,50000,20
2,common,0.0,1706,1.2,53.988,44.99,0.05,drop,4.149170700009563,50000,20
2,common,0.0,1707,1.2,53.988,44.99,0.05,drop,7.428997199996957,50000,20
2,common,0.0,1708,1.2,53.988,44.99,0.05,drop,3.490996099993936,50000,20
2,common,0.0,1709,1.2,53.988,44.99,0.05,drop,3.691517900006147,50000,20
2,common,0.0,1710,1.2,53.988,44.99,0.05,drop,3.8782115999929374,50000,20
2,common,0.75,1701,1.2,53.988,44.99,0.05,drop,3.5268271999957506,50000,20
2,common,0.75,1702,1.2,53.988,44.99,0.05,drop,4.159777799999574,50000,20
2,common,0.75,1703,1.2,53.988,44.99,0.05,drop,4.487393400006113,50000,20
2,common,0.75,1704,1.2,53.988,44.99,0.05,drop,4.671565200012992,50000,20
2,common,0.75,1705,1.2,53.988,44.99,0.05,drop,3.954383599993889,50000,20
2,common,0.75,1706,1.2,53.988,44.99,0.05,drop,3.2082729000103427,50000,20
2,common,0.75,1707,1.2,53.988,44.99,0.05,drop,4.204414899999392,50000,20
2,common,0.75,1708,1.2,53.988,44.99,0.05,drop,2.949879099993268,50000,20
2,common,0.75,1709,1.2,53.988,44.99,0.05,drop,4.534915900003398,50000,20
2,common,0.75,1710,1.2,53.988,44.99,0.05,drop,3.118714900003397,50000,20
2,common,0.975,1701,1.2,53.988,44.99,0.05,drop,4.680760300005204,50000,20
2,common,0.975,1702,1.2,53.988,44.99,0.05,drop,5.081646399994497,50000,20
2,common,0.975,1703,1.2,53.988,44.99,0.05,drop,6.639735300006578,50000,20
2,common,0.975,1704,1.2,53.988,44.99,0.05,drop,3.132156699997722,50000,20
2,common,0.975,1705,1.2,53.988,44.99,0.05,drop,2.680274800004554,50000,20
2,common,0.975,1706,1.2,53.988,44.99,0.05,drop,3.737218499998562,50000,20
2,common,0.975,1707,1.2,53.988,44.99,0.05,drop,4.456883399994695,50000,20
2,common,0.975,1708,1.2,53.988,44.99,0.05,drop,3.886890499998117,50000,20
2,common,0.975,1709,1.2,53.988,44.99,0.05,drop,4.002225000003818,50000,20
2,common,0.975,1710,1.2,53.988,44.99,0.05,drop,2.6695263000001432,50000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.05,late,1.3477538999868557,50000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,late,1.3355865000048652,50000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,late,1.2911399000004167,50000,20
2,independent,0.0,1704,1.2,53.988,44.99,0.05,late,1.3205247999867424,50000,20
2,independent,0.0,1705,1.2,53.988,44.99,0.05,late,1.4267931999929715,50000,20
2,independent,0.0,1706,1.2,53.988,44.99,0.05,late,1.2905442000046605,50000,20
2,independent,0.0,1707,1.2,53.988,44.99,0.05,late,1.3338703000044916,50000,20
2,independent,0.0,1708,1.2,53.988,44.99,0.05,late,1.4887111999996705,50000,20
2,independent,0.0,1709,1.2,53.988,44.99,0.05,late,1.504575200000545,50000,20
2,independent,0.0,1710,1.2,53.988,44.99,0.05,late,1.4522940999886487,50000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.05,late,1.399864199993317,50000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.05,late,1.3996580999955768,50000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.05,late,1.303212300001178,50000,20
2,independent,0.75,1704,1.2,53.988,44.99,0.05,late,1.5022133000020403,50000,20
2,independent,0.75,1705,1.2,53.988,44.99,0.05,late,1.3627263999951538,50000,20
2,independent,0.75,1706,1.2,53.988,44.99,0.05,late,1.3888762999995379,50000,20
2,independent,0.75,1707,1.2,53.988,44.99,0.05,late,1.3120266999903833,50000,20
2,independent,0.75,1708,1.2,53.988,44.99,0.05,late,1.3390767999953823,50000,20
2,independent,0.75,1709,1.2,53.988,44.99,0.05,late,1.3619972000014968,50000,20
2,independent,0.75,1710,1.2,53.988,44.99,0.05,late,1.340684599999804,50000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.05,late,1.3215705000038724,50000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.05,late,1.3177033999963896,50000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.05,late,1.3649434999970254,50000,20
2,independent,0.975,1704,1.2,53.988,44.99,0.05,late,1.312909899992519,50000,20
2,independent,0.975,1705,1.2,53.988,44.99,0.05,late,1.3265188000077615,50000,20
2,independent,0.975,1706,1.2,53.988,44.99,0.05,late,1.3166616999951657,50000,20
2,independent,0.975,1707,1.2,53.988,44.99,0.05,late,1.290655800010427,50000,20
2,independent,0.975,1708,1.2,53.988,44.99,0.05,late,1.3333502000023145,50000,20
2,independent,0.975,1709,1.2,53.988,44.99,0.05,late,1.360437200011802,50000,20
2,independent,0.975,1710,1.2,53.988,44.99,0.05,late,1.3771177000016905,50000,20
2,common,0.0,1701,1.2,53.988,44.99,0.05,late,4.444498199998634,50000,20
2,common,0.0,1702,1.2,53.988,44.99,0.05,late,3.747814300004393,50000,20
2,common,0.0,1703,1.2,53.988,44.99,0.05,late,3.6953846999967936,50000,20
