N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
2,common,0.0,1.2,0.05,drop,0.0,0.004500000000000001,1.0,0.9920738469567486
2,common,0.0,1.2,0.05,late,0.0,0.004633333333333334,1.0,0.9961931688810903
2,common,0.0,1.2,0.15,drop,0.0,0.008499999999999988,1.0,0.9986885552696063
2,common,0.0,1.2,0.15,late,0.0,0.02153333333333333,1.0,0.9939591884387303
2,common,0.0,1.35,0.05,drop,0.0,0.0011000000000000014,1.0,0.9997313793872697
2,common,0.0,1.35,0.05,late,0.0,0.0059000000000000025,1.0,0.9959377851528316
2,common,0.0,1.35,0.15,drop,0.0,0.0004666666666666615,1.0,0.9999926726714871
2,common,0.0,1.35,0.15,late,0.0,0.03193333333333333,1.0,0.9859600433146912
2,common,0.0,1.5,0.05,drop,0.0,0.002066666666666668,1.0,0.9985500161444611
2,common,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.0,1.5,0.15,drop,0.0,0.0005999999999999986,1.0,0.9999878551360629
2,common,0.0,1.5,0.15,late,0.0,0.0194,1.0,0.9952417792464948
2,common,0.75,1.2,0.05,drop,0.0,0.006066666666666669,1.0,0.9924556458362158
2,common,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
2,common,0.75,1.2,0.15,drop,0.0,0.01003333333333332,1.0,0.998699160363731
2,common,0.75,1.2,0.15,late,0.0,0.02109999999999999,1.0,0.9942430618321962
2,common,0.75,1.35,0.05,drop,0.0,0.001833333333333335,1.0,0.9995060536007364
2,common,0.75,1.35,0.05,late,0.0,0.004100000000000004,1.0,0.9976469501141331
2,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
2,common,0.75,1.35,0.15,late,0.0,0.02893333333333333,1.0,0.9887244970990311
2,common,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,common,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
2,common,0.75,1.5,0.15,late,0.0,0.020099999999999996,1.0,0.994868615683211
2,common,0.975,1.2,0.05,drop,0.0,0.006766666666666668,1.0,0.9901499389697443
2,common,0.975,1.2,0.05,late,0.0,0.005200000000000003,1.0,0.9950892740018237
2,common,0.975,1.2,0.15,drop,0.0,0.014899999999999988,1.0,0.9961505510700878
2,common,0.975,1.2,0.15,late,0.0,0.016966666666666668,1.0,0.9962797288106593
2,common,0.975,1.35,0.05,drop,0.0,0.00206666666666667,1.0,0.9995485774523077
2,common,0.975,1.35,0.05,late,0.0,0.006133333333333338,1.0,0.9955456832769788
2,common,0.975,1.35,0.15,drop,0.0,0.0006333333333333283,1.0,0.9999923475814327
2,common,0.975,1.35,0.15,late,0.0,0.03316666666666666,1.0,0.9847309953611694
2,common,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,common,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
2,common,0.975,1.5,0.15,late,0.0,0.021166666666666657,1.0,0.9942473830748201
2,independent,0.0,1.2,0.05,drop,0.0,0.003300000000000002,1.0,0.997037145929211
2,independent,0.0,1.2,0.05,late,0.0,0.0009666666666666666,1.0,0.9998511698660408
2,independent,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
2,independent,0.0,1.2,0.15,late,0.0,0.001933333333333324,1.0,0.9999110670465021
2,independent,0.0,1.35,0.05,drop,0.0,0.0007666666666666655,1.0,0.999870433341833
2,independent,0.0,1.35,0.05,late,0.0,0.00010000000000000055,1.0,0.999996981946001
2,independent,0.0,1.35,0.15,drop,0.0,0.0030999999999999917,1.0,0.9998504046356799
2,independent,0.0,1.35,0.15,late,0.0,0.0002333333333333354,1.0,0.9999989226366995
2,independent,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,independent,0.0,1.5,0.05,late,0.0,0.0005000000000000004,1.0,0.99992271626565
2,independent,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
2,independent,0.0,1.5,0.15,late,0.0,0.00523333333333333,1.0,0.9996804385894452
2,independent,0.75,1.2,0.05,drop,0.0,0.006999999999999997,1.0,0.9897718986123175
2,independent,0.75,1.2,0.05,late,0.0,0.0003666666666666679,1.0,0.9999561499830035
2,independent,0.75,1.2,0.15,drop,0.0,3.333333333332966e-05,1.0,0.9999999625396191
2,independent,0.75,1.2,0.15,late,0.0,0.003066666666666662,1.0,0.999748360154916
2,independent,0.75,1.35,0.05,drop,0.0,0.0013666666666666688,1.0,0.9997264479349534
2,independent,0.75,1.35,0.05,late,0.0,0.00013333333333333716,1.0,0.9999973226453335
2,independent,0.75,1.35,0.15,drop,0.0,0.0004000000000000022,1.0,0.9999946238293388
2,independent,0.75,1.35,0.15,late,0.0,0.0001333333333333279,1.0,0.9999994058250534
2,independent,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,independent,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
2,independent,0.75,1.5,0.15,drop,0.0,0.0009333333333333323,1.0,0.9999834085949927
2,independent,0.75,1.5,0.15,late,0.0,0.004633333333333323,1.0,0.999745793688672
2,independent,0.975,1.2,0.05,drop,0.0,0.003133333333333333,1.0,0.9944741706878394
2,independent,0.975,1.2,0.05,late,0.0,3.333333333333429e-05,1.0,0.9999996659993333
2,independent,0.975,1.2,0.15,drop,0.0,3.333333333332966e-05,1.0,0.999999962839201
2,independent,0.975,1.2,0.15,late,0.0,0.004533333333333334,1.0,0.9996794455127116
2,independent,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
2,independent,0.975,1.35,0.05,late,0.0,0.00020000000000000342,1.0,0.9999932851520056
2,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
2,independent,0.975,1.35,0.15,late,0.0,3.333333333332966e-05,1.0,0.9999999629382633
2,independent,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,independent,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
2,independent,0.975,1.5,0.15,drop,0.0,0.0005000000000000004,1.0,0.9999935379129553
2,independent,0.975,1.5,0.15,late,0.0,0.006700000000000002,1.0,0.9994731229851007
4,common,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.15,late,0.0,0.03316666666666666,1.0,0.9903866441993158
4,common,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.5,0.05,late,0.0,0.0019333333333333331,1.0,0.9996388174992493
4,common,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.5,0.15,late,0.0,0.03869999999999999,1.0,0.9868029569052087
4,common,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
4,common,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.15,late,0.0,0.03343333333333332,1.0,0.990213641762848
4,common,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.5,0.05,late,0.0,0.0021999999999999984,1.0,0.9996464935035831
4,common,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.5,0.15,late,0.0,0.037466666666666655,1.0,0.9877340406500038
4,common,0.975,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.15,late,0.0,0.034466666666666666,1.0,0.990336573120301
4,common,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
4,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.5,0.15,late,0.0,0.04159999999999999,1.0,0.984776063685215
4,independent,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.2,0.15,drop,0.0,0.0001333333333333279,1.0,0.9999997219629634
4,independent,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.05,drop,0.0,0.0026333333333333347,1.0,0.9983728483250313
4,independent,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.15,late,0.0,0.0011333333333333289,1.0,0.9999686650564404
4,independent,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.15,late,0.0,0.011000000000000001,1.0,0.9989808328507156
4,independent,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.15,late,0.0,0.00016666666666666682,1.0,0.9999993043981514
4,independent,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.15,late,0.0,0.00996666666666666,1.0,0.9992313530193746
4,independent,0.975,1.2,0.05,drop,0.0,0.00030000000000000165,1.0,0.9999795677648952
4,independent,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.05,late,0.0,0.00013333333333333483,1.0,0.9999959840002571
4,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.15,late,0.0,0.004466666666666665,1.0,0.9998184700187179
4,independent,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.5,0.15,late,0.0,0.01746666666666667,1.0,0.9976359308402741
8,common,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
