N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,I1_energy_j,J1_energy_j,I2_energy_j,J2_energy_j,server_only_percent,targeting_indep_percent,targeting_joint_percent,interaction_percent_points,total_percent,identity_error_percent_points,I1_violation_rate_mean,J1_violation_rate_mean,I2_violation_rate_mean,J2_violation_rate_mean,I1_violation_set_sha256_by_device_json,J1_violation_set_sha256_by_device_json,I2_violation_set_sha256_by_device_json,J2_violation_set_sha256_by_device_json,I2_violation_spread,J2_violation_spread,I2_jain_index,J2_jain_index,J2_source,J2_heuristic_selected,J2_I2_guard_selected,J2_J1_guard_selected,J2_repair_success,J2_lambda_initial_json,J2_lambda_final_json,J2_iterations
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,0.23224580951582888,0.1903720626829984,0.2106301349586105,0.171507242927356,18.029925672340948,9.307239860336491,8.122781545540283,-1.184458314796208,26.15270721788123,-1.7763568394002505e-15,0.022600000000000002,0.022600000000000002,0.05,0.05,"[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""a27b64401cea353f5f610da2c52d29583d0b5ac5bfe3baba1773e7e82f26ec8e""]","[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""a27b64401cea353f5f610da2c52d29583d0b5ac5bfe3baba1773e7e82f26ec8e""]","[""4512fd316418c7f54c661e5f0de36ff32efb363402680c7f304d3cb854e20e4c"", ""606a71251447209cc44222c3dfdc4e5270322f467c478bd6d634e60445af25fb""]","[""b5ba3b8b8b47381a995bbf75b3b5a50299b93278fb5e337df0613b5c065cbdaa"", ""1450b19a8f20a378c48d026f4e92aa5435232c4aa6dee52de11466e95eacb379""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03875102597827291, 0.03869256417761892]","[0.41547809323070856, 0.3867332644239213]",20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,0.22911693332691138,0.18851409035692082,0.2076239343351317,0.17281006347107278,17.721450082459477,9.380799000618943,6.854153753638556,-2.5266452469803866,24.575603836098033,0.0,0.02275,0.02275,0.05,0.0374,"[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""34d4630883fca9d04dac1e85974cb009cf2a3d819af8491c058e34d365c42f55""]","[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""34d4630883fca9d04dac1e85974cb009cf2a3d819af8491c058e34d365c42f55""]","[""759b2c07d87b4ee93af8676f100dc88677134e6071b5cf340ff377bb966b2187"", ""81814a508fad873e8fdf8cfc8f4fa73dc432a38309deb00eb48bddf83b91f46c""]","[""a7ab169fee36f1d79ce397f136598f6bc698030490f2840924bcd0763fe1cdc7"", ""606c40930ca0666671627626f733c9565c2c746b913b73dbd1bcdc763d401eb2""]",0,0.006600000000000002,1,0.9922746781115882,heuristic,True,False,False,True,"[0.0386604188150254, 0.03835649358745747]","[0.38716558118593786, 0.39078604113606097]",20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,0.22812501727015555,0.18509218381460238,0.20600717295537252,0.16144735237749272,18.86370638805994,9.695492664265805,10.364856831597923,0.6693641673321178,29.22856321965786,0.0,0.021949999999999997,0.021949999999999997,0.05,0.048350000000000004,"[""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515"", ""9f999a2e98a3fbfe5ece7d0a38c8d18a781df1daa7839439fcbbfbc0cec0397b""]","[""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515"", ""9f999a2e98a3fbfe5ece7d0a38c8d18a781df1daa7839439fcbbfbc0cec0397b""]","[""11f92394d7cd4892b6aa184e16aa6097ab40f7355d5231533ba085a7cf2552db"", ""6a55d3cd8527327e6cd810dd0df7f04039bf6081ae4d7c260ec6828ed96cc00f""]","[""4a1c51f0b73f355f3700a4852435d0e2c67c09febce3f4f411160d975f90d416"", ""246e9c9fbb942eaebbf387c0cd1ab92ff7d851c3bc25a02f4d3f74bbdf20f0d6""]",0,0.0033000000000000043,1,0.9988367596760448,heuristic,True,False,False,True,"[0.03840483355513077, 0.03873561776678544]","[0.39029565758701495, 0.39584689710125504]",20
2,independent,0.75,1701,1.2,53.988,44.99,0.05,drop,0.23028581469738496,0.18859735686571963,0.2080028625181122,0.16823346342026085,18.1029204453811,9.67621570983625,8.842877913352437,-0.8333377964838125,26.945798358733533,-1.7763568394002505e-15,0.02175,0.02175,0.05,0.05,"[""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882"", ""367c76d6493f75f25c1e6f28eeb3e435ef2657eac31a3f35980c2c0a0899baa8""]","[""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882"", ""367c76d6493f75f25c1e6f28eeb3e435ef2657eac31a3f35980c2c0a0899baa8""]","[""2fb582ef657ad40f5a31aa569b807c0086efcaf5f463901613ede59ea970b547"", ""454b3bd577e8c281579b42039779609672f3c1ba82a2820239057fa2672a5d1c""]","[""29ba0c7894d932e7708f747b2cf20e40ae8a02fdb374b54f58b4df51d97a11f6"", ""350dad16878a34af8cf502dfce5e7e421ab16385ce5dc13aa4a3a283a50c6544""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03886633176953998, 0.03857583810084012]","[0.3850730992199063, 0.4393489666311894]",20
2,independent,0.75,1702,1.2,53.988,44.99,0.05,drop,0.2340800629665002,0.19295023168311531,0.21304712984278,0.17092340877205467,17.57083912322387,8.985358623528004,9.409952574309141,0.42459395078113715,26.980791697533007,-3.552713678800501e-15,0.023350000000000003,0.023350000000000003,0.05,0.044950000000000004,"[""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d"", ""8cbbc613addb37324785a2cc6be73a9ca18833d40c19b3aec3a7e54b167fe320""]","[""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d"", ""8cbbc613addb37324785a2cc6be73a9ca18833d40c19b3aec3a7e54b167fe320""]","[""eeb0519ef357f1c108d12c76c6d029d2a3e7e4c1755f0206614b529682c89959"", ""0d8bd017baba856930613c817a6965030601ac4f6e50ea53b6770308aac66c09""]","[""122353d43006bf1c7c5dc3f826158cc893ea1e041fbb711ffdb8bdf4a22ef121"", ""2d86c361114362d22a9d1912a49b26a3bd2cc196d4a1984ca3dd38036e08b2c4""]",0,0.009299999999999996,1,0.9894117647058823,heuristic,True,False,False,True,"[0.03880387272450925, 0.03898292516993518]","[0.39312439976909513, 0.4235073434080196]",20
2,independent,0.75,1703,1.2,53.988,44.99,0.05,drop,0.22970030692972213,0.1886616588986333,0.20711043266156065,0.16918507750662276,17.866170306705254,9.834498947828116,8.479127282128308,-1.355371665699808,26.345297588833557,-5.329070518200751e-15,0.02135,0.02135,0.05,0.04085,"[""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23"", ""25ae24088aa73c68cd6c95c151bae187084484d8657f3a888a6087d78c3425cd""]","[""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23"", ""25ae24088aa73c68cd6c95c151bae187084484d8657f3a888a6087d78c3425cd""]","[""37f75ab53f67775f439c06ec635f493f9a2e45c334c6a179f130bd912ce49afe"", ""74c68b189592d98d543259136b4ee1911a9bd54cc9e97b28a16fe64984cebc20""]","[""b4ae8fc45046ed5c1ebb1c394968240c15b019507bd4e668516ceb7336d90da4"", ""e97494eea37d7d0fb7e67a5b1eaac6b48c36b9983ab4fa3b35e7cb34fac53a34""]",0,0.011699999999999995,1,0.9799039311310699,heuristic,True,False,False,True,"[0.038516667574272474, 0.03848285790865141]","[0.39849950758212077, 0.3959582342839063]",20
2,independent,0.975,1701,1.2,53.988,44.99,0.05,drop,0.22810278058722946,0.18536165240094382,0.2065340504664925,0.16395887285305624,18.73766206455378,9.455706793757736,9.382954251056523,-0.07275254270121323,28.120616315610302,-1.7763568394002505e-15,0.02265,0.02265,0.05,0.05,"[""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55"", ""411509720eed55aa4eadc1cf2eb712d74f9c464b356835e76dc42f73ff10968d""]","[""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55"", ""411509720eed55aa4eadc1cf2eb712d74f9c464b356835e76dc42f73ff10968d""]","[""46d5e7b2355f3b36303a4ef3462f7f6ab231ab18a2945d85466925b65d1dcd28"", ""213ccb1118c23a3272be004fd2f9355b621e89c8880fefd773521c38b6bd25bf""]","[""16fcc0cf72f193f0224bf85a87228c8ba162521fa4502138828c35ab44560a12"", ""085805eae762a77ff6f39880640cc6a2241d5f401af0e89c9dd957389ef42c6f""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03853923964809936, 0.03877991428671752]","[0.40488905933524505, 0.38758141756647607]",20
2,independent,0.975,1702,1.2,53.988,44.99,0.05,drop,0.22501015812701095,0.1852767700805108,0.20311980086205828,0.16481460697700437,17.658486344457362,9.728608453577582,9.093884148979711,-0.6347243045978708,26.752370493437073,0.0,0.02225,0.02225,0.05,0.05,"[""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869"", ""0bd6a8c8a2f613e0c93e1d9d4879241ba98e7145d7c29cde8df7d46a996aa506""]","[""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869"", ""0bd6a8c8a2f613e0c93e1d9d4879241ba98e7145d7c29cde8df7d46a996aa506""]","[""925e856f42b5b971e1c5c8a3b03ed391fd5413b1cf4be2939f00dc2bcee09ef6"", ""4696b008f517577f692927a38bf2e2fb1b204f4aa906821da8b404ab22c2a84c""]","[""c6036c84e8930f519e655c68bb3c1ebe8bf67d501a6b217f98552c2ac6931e99"", ""d097687d11dbcc1c223fc197fb1aeccda54def86377e60d8bfdcadded68ee568""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03853098215334435, 0.0383280388714905]","[0.4340072588929464, 0.38506944908135055]",20
2,independent,0.975,1703,1.2,53.988,44.99,0.05,drop,0.22590134723834454,0.1842186529607235,0.20291654719032054,0.16879150192406925,18.45172451921783,10.17470693690602,6.8291540644852144,-3.3455528724208055,25.280878583703043,-1.7763568394002505e-15,0.02085,0.02085,0.05,0.036199999999999996,"[""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2"", ""a1f6aa1de2aa80d17136dc38d18dbeed9d4ef006b48a06037775d7795a202972""]","[""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2"", ""a1f6aa1de2aa80d17136dc38d18dbeed9d4ef006b48a06037775d7795a202972""]","[""d237c3b7042d2023b9411c772fc72db62bc989b74ccbd816459b719889d2fd3f"", ""9caa1da10bcd113b12f77d95b261025ef3c4850b65e86de47dbf674b8b9500fd""]","[""052c6681467da9e53aa7b71adb0bd8a041a111b825bb116f58b05efbed06c653"", ""5df5e22321cd8b6486eea04a582d400ef3bbdc03f20fa20ca3fda1227500b7c5""]",0,0.009399999999999999,1,0.9834225120635182,heuristic,True,False,False,True,"[0.03853997028911414, 0.03841073429303788]","[0.40692207712614714, 0.40579435970630384]",20
2,common,0.0,1701,1.2,53.988,44.99,0.05,drop,0.2326126507489509,0.2082041250746609,0.2100512069812541,0.17728488153807126,10.493206451025356,9.699147357228835,13.29215906230289,3.593011705074055,23.785365513328244,-1.7763568394002505e-15,0.0214,0.0214,0.05,0.04325,"[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677""]","[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677""]","[""4512fd316418c7f54c661e5f0de36ff32efb363402680c7f304d3cb854e20e4c"", ""4512fd316418c7f54c661e5f0de36ff32efb363402680c7f304d3cb854e20e4c""]","[""13f55b5f350afa6f24a3441e9794d5e1a4c322be1962b9f571bd7543be05789c"", ""7b558eedbf4aa9be4b93e1f34f262963a3e6349518a60c95d628a43916cafad8""]",0,0.013500000000000005,1,0.9762215408702457,heuristic,True,False,False,True,"[0.03875102597827291, 0.03875102597827291]","[0.43654979262331467, 0.4678951255463604]",20
