N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,device,device_index,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,selected_v,q_final,q_max,policy_metadata_json,allocation_mean,allocation_max,allocation_nonzero_rate
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_0,0,I1,0.11630632537447545,1163.0632537447545,0.0214,214,2,3,211,1.0,0,214,0.1581,0.0,0.7746202841744243,,,,{},0.4893,0.5,0.9786
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_1,1,I1,0.11593948414135344,1159.3948414135343,0.0238,238,3,9,228,1.0,0,238,0.1568,0.0,0.7578540357660706,,,,{},0.4881,0.5,0.9762
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_0,0,J1,0.0947768183092363,947.7681830923631,0.0214,214,2,3,211,1.0,0,214,0.0918,0.00025128785023244125,0.4487996080352768,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.41692299999999993,0.96,0.9786
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_1,1,J1,0.09559524437376209,955.9524437376208,0.0238,238,3,9,228,1.0,0,238,0.0968,0.0005043500189131257,0.4659255679072015,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.41474449999999996,0.975,0.9762
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_0,0,I2,0.10502560349062705,1050.2560349062705,0.05,500,3,26,472,1.0,0,500,0.1295,0.0,0.6344928956393925,,,,"{""budget"": 286}",0.475,0.5,0.95
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_1,1,I2,0.10560453146798345,1056.0453146798345,0.05,500,3,26,473,1.0,0,500,0.1306,0.0,0.6312228129531174,,,,"{""budget"": 262}",0.475,0.5,0.95
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_0,0,J2,0.082239286261788,822.39286261788,0.05,500,3,31,467,1.0,0,500,0.061,0.00025128785023244125,0.2978931896129348,,,,"{""joint"": true, ""source"": ""heuristic""}",0.41254799999999997,1.0,0.95
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,device_1,1,J2,0.089267956665568,892.67956665568,0.05,500,3,36,462,0.73,135,365,0.0822,0.0010087000378262514,0.39342677622039635,,,,"{""joint"": true, ""source"": ""heuristic""}",0.406753,0.995,0.95
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_0,0,I1,0.1158141557581348,1158.141557581348,0.0216,216,2,6,210,1.0,0,216,0.1579,0.0,0.7725048923679061,,,,{},0.4892,0.5,0.9784
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_1,1,I1,0.11330277756877659,1133.0277756877658,0.0239,239,2,4,235,1.0,0,239,0.1522,0.0,0.7598602096854717,,,,{},0.48805,0.5,0.9761
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_0,0,J1,0.09560625131964164,956.0625131964164,0.0216,216,2,6,210,1.0,0,216,0.0986,0.0005027652086475615,0.48043052837573386,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.4155875,0.99,0.9784
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_1,1,J1,0.09290783903727917,929.0783903727917,0.0239,239,2,4,235,1.0,0,239,0.09,0.00012504689258471927,0.4488267598602097,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.41216050000000004,0.99,0.9761
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_0,0,I2,0.10461453802280075,1046.1453802280075,0.05,500,3,31,467,1.0,0,500,0.1295,0.0,0.6335616438356164,,,,"{""budget"": 284}",0.475,0.5,0.95
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_1,1,I2,0.10300939631233096,1030.0939631233095,0.05,500,3,24,475,1.0,0,500,0.1261,0.0,0.6295556665002496,,,,"{""budget"": 261}",0.475,0.5,0.95
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_0,0,J2,0.08816302121464605,881.6302121464604,0.0341,341,3,12,328,1.0,0,341,0.0787,0.0005027652086475615,0.3830724070450098,,,,"{""joint"": true, ""source"": ""heuristic""}",0.4179205,0.995,0.9659
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,device_1,1,J2,0.08464704225642672,846.4704225642672,0.0407,407,2,16,391,1.0,0,407,0.0698,0.00012504689258471927,0.3479780329505741,,,,"{""joint"": true, ""source"": ""heuristic""}",0.4117205,1.0,0.9593
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_0,0,I1,0.11363355892571954,1136.3355892571954,0.0213,213,2,4,209,1.0,0,213,0.1529,0.0,0.7702770780856423,,,,{},0.48935,0.5,0.9787
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_1,1,I1,0.11449145834443603,1144.9145834443602,0.0226,226,2,4,222,1.0,0,226,0.1522,0.0,0.7655935613682092,,,,{},0.4887,0.5,0.9774
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_0,0,J1,0.092788552032638,927.88552032638,0.0213,213,2,4,209,1.0,0,213,0.0903,0.0012476606363069245,0.44987405541561715,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.41520050000000003,0.995,0.9787
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_1,1,J1,0.09230363178196438,923.0363178196438,0.0226,226,2,4,222,1.0,0,226,0.0855,0.0006240639041437844,0.4275653923541248,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.41661499999999996,0.975,0.9774
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_0,0,I2,0.10231336999684638,1023.1336999684638,0.05,500,3,20,478,1.0,0,500,0.1242,0.0,0.6256926952141058,,,,"{""budget"": 287}",0.475,0.5,0.95
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,device_1,1,I2,0.10369380295852614,1036.9380295852613,0.05,500,3,21,478,1.0,0,500,0.1248,0.0,0.6277665995975855,,,,"{""budget"": 274}",0.475,0.5,0.95
