N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,0.32280670000182,10000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,0.23930620000464842,10000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,0.23922370000218507,10000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.05,drop,0.44245479999517556,10000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.05,drop,0.3877213999949163,10000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.05,drop,0.23316099999647122,10000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.05,drop,0.2516985999973258,10000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.05,drop,0.43877579999389127,10000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.05,drop,0.24625539999397006,10000,20
2,common,0.0,1701,1.2,53.988,44.99,0.05,drop,0.35987510000995826,10000,20
2,common,0.0,1702,1.2,53.988,44.99,0.05,drop,0.5574945999978809,10000,20
2,common,0.0,1703,1.2,53.988,44.99,0.05,drop,0.4236410000012256,10000,20
2,common,0.75,1701,1.2,53.988,44.99,0.05,drop,0.31696070000180043,10000,20
2,common,0.75,1702,1.2,53.988,44.99,0.05,drop,0.3489331000018865,10000,20
2,common,0.75,1703,1.2,53.988,44.99,0.05,drop,0.33389639999950305,10000,20
2,common,0.975,1701,1.2,53.988,44.99,0.05,drop,0.3389026999939233,10000,20
2,common,0.975,1702,1.2,53.988,44.99,0.05,drop,0.30701450000924524,10000,20
2,common,0.975,1703,1.2,53.988,44.99,0.05,drop,0.36386680000578053,10000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.05,late,0.27444670000113547,10000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,late,0.27880920001189224,10000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,late,0.2725543000124162,10000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.05,late,0.2729505000024801,10000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.05,late,0.2538748999941163,10000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.05,late,0.2552580999908969,10000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.05,late,0.2542181999888271,10000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.05,late,0.2580693999916548,10000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.05,late,0.2551945000013802,10000,20
2,common,0.0,1701,1.2,53.988,44.99,0.05,late,0.34983769999234937,10000,20
2,common,0.0,1702,1.2,53.988,44.99,0.05,late,0.39815619999717455,10000,20
2,common,0.0,1703,1.2,53.988,44.99,0.05,late,0.3165671000024304,10000,20
2,common,0.75,1701,1.2,53.988,44.99,0.05,late,0.3642760999937309,10000,20
2,common,0.75,1702,1.2,53.988,44.99,0.05,late,0.3594948999962071,10000,20
2,common,0.75,1703,1.2,53.988,44.99,0.05,late,0.34476659999927506,10000,20
2,common,0.975,1701,1.2,53.988,44.99,0.05,late,0.3531379000050947,10000,20
2,common,0.975,1702,1.2,53.988,44.99,0.05,late,0.3321493000112241,10000,20
2,common,0.975,1703,1.2,53.988,44.99,0.05,late,0.34874309999577235,10000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.15,drop,0.2577501000050688,10000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.15,drop,0.24942760000703856,10000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.15,drop,0.25342609999643173,10000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.15,drop,0.2540399999998044,10000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.15,drop,0.2517853999888757,10000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.15,drop,0.23644229999626987,10000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.15,drop,0.2421258999966085,10000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.15,drop,0.23945080001431052,10000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.15,drop,0.24214079999364913,10000,20
2,common,0.0,1701,1.2,53.988,44.99,0.15,drop,0.6410937000036938,10000,20
2,common,0.0,1702,1.2,53.988,44.99,0.15,drop,0.8121169000078226,10000,20
2,common,0.0,1703,1.2,53.988,44.99,0.15,drop,0.7014630000048783,10000,20
2,common,0.75,1701,1.2,53.988,44.99,0.15,drop,0.556970799996634,10000,20
2,common,0.75,1702,1.2,53.988,44.99,0.15,drop,0.6452483000030043,10000,20
2,common,0.75,1703,1.2,53.988,44.99,0.15,drop,0.5902564999996684,10000,20
2,common,0.975,1701,1.2,53.988,44.99,0.15,drop,0.6097345000016503,10000,20
2,common,0.975,1702,1.2,53.988,44.99,0.15,drop,0.6148271999991266,10000,20
2,common,0.975,1703,1.2,53.988,44.99,0.15,drop,0.554892000000109,10000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.15,late,0.2704301000048872,10000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.15,late,0.27670649999345187,10000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.15,late,0.28746680000040215,10000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.15,late,0.279176500000176,10000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.15,late,0.28277320000051986,10000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.15,late,0.27337540000735316,10000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.15,late,0.28957969999464694,10000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.15,late,0.3021665000123903,10000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.15,late,0.2869072000030428,10000,20
2,common,0.0,1701,1.2,53.988,44.99,0.15,late,0.7362617000035243,10000,20
2,common,0.0,1702,1.2,53.988,44.99,0.15,late,0.8160822999925585,10000,20
