N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,0.2455926999973599,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0.23052340000867844,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,0.22846779999963474,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,0.23293139999441337,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,0.2812836000084644,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0.2808268000080716,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,0.2775376000063261,10000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,0.2679143999994267,10000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,0.2866113999916706,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,0.29700219999358524,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,0.2904584000061732,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,0.29096369999751914,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,0.3458554999961052,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,0.34444000000075903,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,0.330736000003526,10000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,0.34632750001037493,10000,20
4,independent,0.0,1701,1.35,84.888,62.88,0.15,drop,0.974016499996651,10000,20
4,independent,0.0,1702,1.35,84.888,62.88,0.15,drop,0.9891371999983676,10000,20
4,independent,0.975,1701,1.35,84.888,62.88,0.15,drop,0.9768255999952089,10000,20
4,independent,0.975,1702,1.35,84.888,62.88,0.15,drop,0.9774138000066159,10000,20
4,common,0.0,1701,1.35,84.888,62.88,0.15,drop,0.7404017000080785,10000,20
4,common,0.0,1702,1.35,84.888,62.88,0.15,drop,0.6938100999977905,10000,20
4,common,0.975,1701,1.35,84.888,62.88,0.15,drop,0.6648803999996744,10000,20
4,common,0.975,1702,1.35,84.888,62.88,0.15,drop,0.6328224000026239,10000,20
4,independent,0.0,1701,1.35,84.888,62.88,0.15,late,1.0036842999979854,10000,20
4,independent,0.0,1702,1.35,84.888,62.88,0.15,late,1.0306454000092344,10000,20
4,independent,0.975,1701,1.35,84.888,62.88,0.15,late,1.0165387000015471,10000,20
4,independent,0.975,1702,1.35,84.888,62.88,0.15,late,1.0209486999956425,10000,20
4,common,0.0,1701,1.35,84.888,62.88,0.15,late,0.6783549999963725,10000,20
4,common,0.0,1702,1.35,84.888,62.88,0.15,late,0.6552661000023363,10000,20
4,common,0.975,1701,1.35,84.888,62.88,0.15,late,0.6018402000045171,10000,20
4,common,0.975,1702,1.35,84.888,62.88,0.15,late,0.5946179999882588,10000,20
