device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,policy_metadata_json
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P1,0.07553312670212249,7553.312670212249,0.03163,3163,3,104,3031,1.0,0,3163,0.13065,0,0.6553471107544141,{}
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P0,0.07017661159984313,7017.661159984314,0.1,10000,5,897,8904,0.4327,5673,4327,0.12139,0,0.6088984751203852,"{""budget"": 6837}"
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,0.05845604606592586,5845.604606592586,0.1,10000,5,858,8951,1.0,0,10000,0.06228,0,0.3123996789727127,"{""budget"": 6837}"
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2prime,0.058473820045074426,5847.382004507443,0.1,10000,3,104,9796,1.0,0,10000,0.06228,0,0.3123996789727127,"{""budget"": 6837, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P1,0.07572440520274232,7572.440520274232,0.032,3200,3,97,3061,1.0,0,3200,0.13332,0,0.6630856460757982,{}
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P0,0.070407264500449,7040.7264500449,0.1,10000,5,851,8954,0.4396,5604,4396,0.12399,0,0.6166815875857953,"{""budget"": 6800}"
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,0.05873565845383835,5873.565845383835,0.1,10000,4,956,8835,1.0,0,10000,0.06532,0,0.32487814582711627,"{""budget"": 6800}"
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2prime,0.05875519424417533,5875.519424417533,0.1,10000,3,97,9791,1.0,0,10000,0.06532,0,0.32487814582711627,"{""budget"": 6800, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P1,0.07556872608528621,7556.872608528621,0.032,3200,3,96,3077,1.0,0,3200,0.13219,0,0.6625400962309543,{}
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P0,0.07037358281203686,7037.358281203686,0.1,10000,4,916,8886,0.4328,5672,4328,0.12344,0,0.6186848436246993,"{""budget"": 6800}"
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,0.058577883833017624,5857.788383301762,0.1,10000,5,955,8841,1.0,0,10000,0.06419,0,0.3217221331194868,"{""budget"": 6800}"
