device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,sha256
device_0,0.0,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19936,-0.002661444942765865,7099,7901,1000,816d2303419ee035c384743fbf5e9276d25de7db8e60f22a789fb956b4842865
device_0,0.0,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20106,0.005830007599770396,7243,7757,1000,013fa7fbfe601846f1a247197e87a55b300ecb2633af3c94d975bee0c24d1998
device_0,0.0,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19952,0.005656351965683195,7294,7706,1000,f3d233d0adecddbf576afaccfcb49641377455768c9b84c0aeac26286077cebf
device_0,0.0,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20257,0.002457782015709934,7262,7738,1000,c4fd6bcda3828fc878a61113a62bec392ec4d82be1f304dd36b48b2624b2fdaa
device_0,0.0,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20104,-0.004155617772998724,7231,7769,1000,fe3186b73d90dfe2b2eed2fac7a2e1538fbd2a71b61e9ea42b3742082a2a4190
device_0,0.0,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20062,-0.0045443747273977144,7255,7745,1000,e8b4e19ce48da26f7fbd458c4ffbf38c796650273d60c06042c86b6f5963beaf
device_0,0.0,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19896,0.001346027845602329,7157,7843,1000,04a9e66836cff14ddcc9f5e261a2641f1e408def7f2ab35552e7e64f8794b6ac
device_0,0.0,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19922,-0.001372807149175493,7238,7762,1000,ad847ab368f0c93860842f08f1c968764cd8dba24be7cf1882954748c3264c49
device_0,0.0,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20001,0.005034822885721277,7224,7776,1000,f30d5359d912fe4f81b888059be987dfab37c2a7a34fae0cbef2ea7513c3710c
device_0,0.0,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19848,0.0007247411049733544,7184,7816,1000,cc5722589f34f1155b044986aa0f4cae810705f18d89366cf881209afb976b79
device_0,0.375,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19773,0.37585282092426525,7043,7957,1000,4c08269f993bcde8257958759b157b06c64c070ffbdd4419b72dbbbd174fd31d
device_0,0.375,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20083,0.3763938072575695,7227,7773,1000,d6468c490724e22905b1e5bf1224354cb18aa22712b5ec693494cb5d9ee03943
device_0,0.375,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19949,0.3708761472322628,7340,7660,1000,0b5cb9773906101015c6a56920a1262e91e067b050e3ea851b4458c22ea0b0e7
device_0,0.375,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19956,0.37083454970073176,7231,7769,1000,2d2488b860f651441f3086613da3c3f18d95c9554ac7231d16f8638d85288def
device_0,0.375,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.1976,0.38054564128452917,7297,7703,1000,78b805a7cd84d648e8efc5764e788086dd2b9e428f92a87d9fa23d5e36c1d7b2
device_0,0.375,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19975,0.37847803043317246,7241,7759,1000,e6beaf4e663058cb7e8f0bb52dccf1c08f36e7706948b9bd45d1f6d1c8fbc95e
device_0,0.375,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19756,0.3714936166119789,7129,7871,1000,71fe2a883906e36047b6e791d002c68b2acdf3f118f86bdabc4f25d8856e555a
device_0,0.375,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19968,0.3728274067949136,7122,7878,1000,23112092f07a30f418ec50e25d4e5ab90bc5140e7e2c878b1e8dbf3f9ddd3374
device_0,0.375,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20214,0.3789219763360735,7483,7517,1000,0789d2520fda092401479183161ee8cc0256ca6ef0ee5eab9a20dd3cebc5dd21
device_0,0.375,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19842,0.37511826036297974,7317,7683,1000,142d0b8724c52027d2c4542f7b820a14a6067fe77e85a79dc5b13261c98a420e
device_0,0.75,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20817,0.7556341521150168,7395,7605,1000,927aecfa71d5fdff1f511c102c5901636a90ec08c3c2f2ab709c01c0b8687c79
device_0,0.75,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20244,0.7487885933421545,7401,7599,1000,e7623995dfec9b661d2268e090c193b86ca64b0a53650f467c6e70086373dfa7
device_0,0.75,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20102,0.7470900970852136,7279,7721,1000,82d698276248ee530e3574c890595e24e57130b21f836af91defc6c7a64caca6
device_0,0.75,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19715,0.7479806369104111,7147,7853,1000,f1ad4ba72c49c352cc810b27e74d67b73d5442a5322392513158b5657fde476a
device_0,0.75,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20494,0.7506431485678381,7493,7507,1000,78a30e0ead9b437a09610e672ab8314c85b56127bd12ccc4af439a7f6bb783a4
device_0,0.75,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20282,0.7537784223147826,7170,7830,1000,4027836c246e53640e8a2acda8f96aab994f9678a761e543ac441fa72da854d4
device_0,0.75,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20138,0.7431906944181493,7383,7617,1000,ce9e1b9ac4ad0bcae3cc306e8b1a6f94122c005f7b88cb1f3c6daf71a1399a15
device_0,0.75,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20034,0.7475350990705809,7141,7859,1000,f0b22e7e2424d9d97441724448e13587682579263f4fe4299714b6a3da498cc0
device_0,0.75,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20613,0.7542776800152501,7423,7577,1000,47b03b57a943b616b44f9c25ac3288eb3f46fc282b97e6da379fc661eae79aec
device_0,0.75,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20286,0.74728584709585,7345,7655,1000,5279c2e78e26a76cd2016fe35ae9fb2a32bccbcddde70dc60248c1fcfca45a8b
device_0,0.875,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20249,0.8763990178082249,7299,7701,1000,70e97538792b0cb0626869fd877f525510b3ec6f738556bbab11c22703cd1a2b
device_0,0.875,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19703,0.8759866636367837,7041,7959,1000,13669ef4bf019907d142a3838ce8689ba8e63aceb0fb7b02d351ff074698f00c
device_0,0.875,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20238,0.8773687974569232,7388,7612,1000,78a4e82f70dbd14e55fe5efe51b119da365d4257ef9499601028f98e9de8df09
device_0,0.875,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19663,0.8771256568671042,7061,7939,1000,20017a50cdf30481c8dd7a56e8828bf017dad4d592382dd82bdef81393b1028b
device_0,0.875,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20133,0.8756186617053834,7240,7760,1000,aeaa132529903031614d79f4a0f24dee49cfae7da62e6f747484b77755434b97
device_0,0.875,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19605,0.8731077294363513,7265,7735,1000,6daca54c95ec24e545408d173bae93fd3596ffd5749f860ed2ceb18b111e7b5b
device_0,0.875,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.2,0.8774036452681541,7247,7753,1000,4f735c601ae657e686a9829b2df7a36d354de98804d120bb5dfb2d4fa07fb7b8
device_0,0.875,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20258,0.87442580026271,7424,7576,1000,b73e8513a12c735f56fd4d8b00f6c0b45245635abb0af6ef3e0c65cb4619bfe6
device_0,0.875,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19831,0.8770598020870867,7040,7960,1000,8245a09ce0e4d456ad2c26cae55cfe700c3d65f8a0bb26bb8c9d529730444300
device_0,0.875,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19668,0.8724656025657239,7161,7839,1000,b13cea1d5f26b4166c88ae620feedb728aabb26af0622af5633a318ee63a7098
device_0,0.9375,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20509,0.9402237906216514,7398,7602,1000,09c8cd0d450d45f1a10a78c1504aae5d8022a4f27382d6da2a2d3b386ae897d1
device_0,0.9375,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19366,0.9366016280001491,7175,7825,1000,7e4c4fc92484faf4879f7e33bbc0edde659e2be02215da905bab90b7b37bc1ae
device_0,0.9375,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19489,0.9369055048961522,7108,7892,1000,9c16e850066322a9934a515575b52c09dde0a7831f9c47fe9570bf47ca554682
device_0,0.9375,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19999,0.9358099323716185,7227,7773,1000,9d2c9d398e4c92989bddb97fe04be45b629b74060fc8a2bc15718423c04e63f3
device_0,0.9375,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19063,0.9374553760710133,7023,7977,1000,ef78b46bb0737dc8875432029a5574d1fd6c20129d005d5b949826831838fd6e
device_0,0.9375,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20144,0.9386428776611538,7245,7755,1000,087b21043dd2683c951f5f785bf4b0955b19d1a6be162810f360afc02ff91476
device_0,0.9375,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20073,0.9386652506542138,7184,7816,1000,9489823e37052e49482100a0fa027e29f90152e344b2e101410574334b4722e4
device_0,0.9375,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19042,0.9350336658268497,6902,8098,1000,d765e4688eba5af379a28b9868ba0e5236883776843bb685388a2d8b514254b7
device_0,0.9375,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20214,0.9387695757970393,7313,7687,1000,769f7e708dc4cf2bf5e4707d4a5e60239fbf081c2cce1ba897e57eed8f81ebb1
device_0,0.9375,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20082,0.9338903427364145,7154,7846,1000,1a7442c7a0f17bb59e6ecf176024832dd92f3a046d618c9f4963c122e1779c4e
device_0,0.975,1701,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20012,0.9750727182312047,7189,7811,1000,89b67aa10a446867a37ed211392fe78ef4566ff6c91e87080cfb99a529782bab
device_0,0.975,1702,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19762,0.9739220248349032,7230,7770,1000,989255925db329c7f3ede83a971063a396ab3d49059440215f34a41f80b014f6
device_0,0.975,1703,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.1984,0.975854682367182,7081,7919,1000,6c9fbbb6089d02598c1622ca187aa80a294091f6307e1f82ce0cebf596bb50f3
device_0,0.975,1704,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19634,0.9733501805342133,7125,7875,1000,65155387b9e0e0ac9b24f7deb59f18384675257b16c23902d4c2806554d14e80
device_0,0.975,1705,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19493,0.9747974986214312,7031,7969,1000,a94669f841ab7f475f3611cd2ad39cfe13f72bf6def7e7cc4b90242f046797fa
device_0,0.975,1706,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.203,0.9742259419786155,7403,7597,1000,08565977749ed2ec09441204711bd086494ea6c36a083dceef3afab08c6fb758
device_0,0.975,1707,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.20266,0.9738223967562294,7324,7676,1000,aa8b8469046a783129592687a0c9b79ee25f34e4a135089984b2288f96d11f8e
device_0,0.975,1708,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19043,0.9746047948044175,6961,8039,1000,69b1dec0d7e2d1487b1f5d06ae441353629e2f92f8b6526c106c0097c155107d
device_0,0.975,1709,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19294,0.9749540477640206,6857,8143,1000,a143c5cad44d51925595e654053e12d830f5901efbdfdd5ea7bf7e156c014ede
device_0,0.975,1710,1.1,39.6495,0.15,drop,40,12,3.3333333333333335,0.19779,0.9774683509778551,7145,7855,1000,3347a8e8e6f7b92b04e8d0f0e5ab683dd2aff9dcc0c785176f9a187e6a458ebe
device_0,0.0,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19936,-0.002661444942765865,7099,7901,1000,f369a1eedd357c9a67789815ed1f20e69e9e74820e4567a2ddcbbcbc2128d350
device_0,0.0,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20106,0.005830007599770396,7243,7757,1000,33456ce58498479ca81f6b5b3e25ce0648873aaffe327662c6ef4529012824d5
device_0,0.0,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19952,0.005656351965683195,7294,7706,1000,0f2160c19c2bfea7fcc90cdd3791088f03ca187dfa335f280337f361e94f0c35
device_0,0.0,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20257,0.002457782015709934,7262,7738,1000,04e0854836e6d5cad49b662b0271e3b69fa9e189bbc83b63c2d896404d8be3dc
device_0,0.0,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20104,-0.004155617772998724,7231,7769,1000,6fc1989d5ca8a94fa9fecd580f60569f99be611d1ecc79fa5b1ded7fc23f1eea
device_0,0.0,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20062,-0.0045443747273977144,7255,7745,1000,a3a6eb33071adb08867a243981d93b431ab6c94214db674e4688857dc567bf6b
device_0,0.0,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19896,0.001346027845602329,7157,7843,1000,5f71c74ce3a09b97e04d024c59686472a832d39295859be30cca0aaecfdda673
device_0,0.0,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19922,-0.001372807149175493,7238,7762,1000,72cd503bce1fdc25e285d2b89966e3d87abbb44034c749bf752a849860a192a7
device_0,0.0,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20001,0.005034822885721277,7224,7776,1000,2dc4e014bc85518fc832b898b8507adb94ec132b9cee19e0bffc05174a89cb59
device_0,0.0,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19848,0.0007247411049733544,7184,7816,1000,d59541584236960f04bda2d4d1f322657c6d6fcf5850703b0e56848b76e2c816
device_0,0.375,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19773,0.37585282092426525,7043,7957,1000,23e81ecdca1714b99d3191c9da5387805c35128c791942effdc2c3970b3a6d69
device_0,0.375,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20083,0.3763938072575695,7227,7773,1000,c31b604f0c7b6d38f6237257a61a4b6929ce367a800f1c5b89b63dee5961fc1f
device_0,0.375,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19949,0.3708761472322628,7340,7660,1000,bad34df562d9e4e4c1b4b1e7ef3b8dd1056268588d757fa181fef7725fbcc600
device_0,0.375,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19956,0.37083454970073176,7231,7769,1000,3c7835e85925fafbb75976938d3da84c440811fe6c0b848e85e74ff92789bdce
device_0,0.375,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.1976,0.38054564128452917,7297,7703,1000,38b594500605094f5ec0663aa6050b288b3f7d83d50d058b2fef1698c5cc3446
device_0,0.375,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19975,0.37847803043317246,7241,7759,1000,17aa03f8e7020fe0889dafe6b59a283293ddd7e53ef2ddcabcc2d4bec74e09be
device_0,0.375,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19756,0.3714936166119789,7129,7871,1000,e0ce314155b28d58d99172d5f1ab95f1d6033fe6c5a14ed28209a590a590c7ad
device_0,0.375,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19968,0.3728274067949136,7122,7878,1000,2406d18fd27914326c34845ed29393b684c7700cb6f87c1de81d198527bec42d
device_0,0.375,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20214,0.3789219763360735,7483,7517,1000,b7b235f7606cb96da18ef5b623adf32f23eb82f26506f44f2bf93cb3c9dc25bc
device_0,0.375,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19842,0.37511826036297974,7317,7683,1000,521cd49e147cc33b9006882ae123437cc4d0ab4f08e3a763217cb9de58e0ce25
device_0,0.75,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20817,0.7556341521150168,7395,7605,1000,7ba3a2664b99a9de3e3706cb20b88ae3ba72a62f0dbf0246c2433305d067bddb
