device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,check,passed,detail,severity
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,energy_P2_le_P2prime,True,0.0584560461 <= 0.05847382,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,energy_P2prime_le_P3,True,0.05847382 <= 0.0585577629,diagnostic
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,energy_P2_le_P0,True,0.0584560461 <= 0.0701766116,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,energy_P0_le_P1,True,0.0701766116 <= 0.0755331267,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19936,-0.002661444942765865,3163.0,6837.0,1000.0,P1_equals_forced,True,0.03163 == 0.03163,required
device_0,0.0,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20106,0.005830007599770396,3200.0,6800.0,1000.0,energy_P2_le_P2prime,True,0.0587356585 <= 0.0587551942,required
device_0,0.0,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20106,0.005830007599770396,3200.0,6800.0,1000.0,energy_P2prime_le_P3,True,0.0587551942 <= 0.0588349087,diagnostic
device_0,0.0,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20106,0.005830007599770396,3200.0,6800.0,1000.0,energy_P2_le_P0,True,0.0587356585 <= 0.0704072645,required
