device,rho,seed,deadline_ratio,deadline_ms,skip_mode,saving_p10_j,saving_p50_j,saving_p90_j,saving_unique_count,saving_feasible_unique_count,saving_degenerate,warning
device_0,0.0,1701,1.1,39.6495,drop,0.022966963256540546,0.14736764365202823,0.3823156312056229,92418,92417,False,
device_0,0.0,1701,1.1,39.6495,late,0.0,0.09930690903599851,0.2756343744781366,54164,54164,False,
device_0,0.0,1701,1.2,43.254,drop,0.025448968662815347,0.037958114171439364,0.3853477393887331,96181,96180,False,
device_0,0.0,1701,1.2,43.254,late,0.0,0.0,0.2652087057428796,43584,43584,False,
device_0,0.0,1701,1.35,48.66075000000001,drop,0.026601017535470603,0.038688369892457664,0.3871915602206072,98626,98625,False,
device_0,0.0,1701,1.35,48.66075000000001,late,0.0,0.0,0.23120334966631031,30805,30805,False,
device_0,0.0,1701,1.5,54.0675,drop,0.026878488667082076,0.03889936161408174,0.16372442970480008,99331,99330,False,
device_0,0.0,1701,1.5,54.0675,late,0.0,0.0,0.06722219865619727,23394,23394,False,
device_0,0.0,1701,2.0,72.09,drop,0.02694933238557142,0.038963788336888405,0.16384698687822594,99463,99463,False,
device_0,0.0,1701,2.0,72.09,late,0.0,0.0,0.042487750891155265,17976,17976,False,
device_0,0.0,1702,1.1,39.6495,drop,0.022839278009945483,0.1473573187174147,0.3823983317379332,92304,92303,False,
device_0,0.0,1702,1.1,39.6495,late,0.0,0.09932411025080638,0.27484645936606944,54024,54024,False,
device_0,0.0,1702,1.2,43.254,drop,0.025515343410255506,0.03792816665536998,0.3856220603838198,96169,96168,False,
device_0,0.0,1702,1.2,43.254,late,0.0,0.0,0.26524875308405527,43573,43573,False,
device_0,0.0,1702,1.35,48.66075000000001,drop,0.026692813774306347,0.038726908041691085,0.3874427233227284,98697,98696,False,
device_0,0.0,1702,1.35,48.66075000000001,late,0.0,0.0,0.23518530682268837,30856,30856,False,
device_0,0.0,1702,1.5,54.0675,drop,0.02696220112670403,0.0389277004696241,0.16390789692773172,99365,99364,False,
device_0,0.0,1702,1.5,54.0675,late,0.0,0.0,0.06707922518886952,23418,23418,False,
device_0,0.0,1702,2.0,72.09,drop,0.027049060378962802,0.03898506228978577,0.16403625926368373,99493,99493,False,
device_0,0.0,1702,2.0,72.09,late,0.0,0.0,0.04249314844002849,18201,18201,False,
device_0,0.0,1703,1.1,39.6495,drop,0.022801635336296085,0.14735906072672536,0.3822562307373107,92143,92142,False,
device_0,0.0,1703,1.1,39.6495,late,0.0,0.09931364296014557,0.2749460877501958,54016,54016,False,
device_0,0.0,1703,1.2,43.254,drop,0.025474332637488054,0.03797053424413435,0.38553641429243407,96039,96038,False,
