device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,1,2.0,969,0.0969096909690969
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,2,3.0,869,0.08690869086908691
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,3,5.0,1572,0.1572157215721572
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,5,10.0,2699,0.26992699269926995
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,10,20.0,2552,0.2552255225522552
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,20,50.0,1287,0.12871287128712872
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,50,100.0,51,0.0051005100510051
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,100,250.0,0,0.0
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,250,500.0,0,0.0
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,500,inf,0,0.0
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,1,2.0,1075,0.1075107510751075
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,2,3.0,881,0.08810881088108811
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,3,5.0,1522,0.15221522152215222
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,5,10.0,2670,0.267026702670267
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,10,20.0,2509,0.25092509250925094
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,20,50.0,1266,0.1266126612661266
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,50,100.0,76,0.007600760076007601
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,100,250.0,0,0.0
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,250,500.0,0,0.0
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,500,inf,0,0.0
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,1,2.0,1075,0.1075107510751075
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,2,3.0,904,0.09040904090409041
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,3,5.0,1520,0.15201520152015202
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,5,10.0,2659,0.26592659265926594
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,10,20.0,2472,0.24722472247224722
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,20,50.0,1306,0.13061306130613062
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,50,100.0,62,0.006200620062006201
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,100,250.0,1,0.00010001000100010001
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,250,500.0,0,0.0
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,500,inf,0,0.0
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,1,2.0,1031,0.10311031103110312
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,2,3.0,889,0.0889088908890889
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,3,5.0,1559,0.1559155915591559
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,5,10.0,2675,0.26752675267526754
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,10,20.0,2482,0.24822482248224823
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,20,50.0,1301,0.13011301130113012
