device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,policy_metadata_json
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,P2,0.05845604606592586,5845.604606592586,0.1,10000,5,858,8951,1.0,0,10000,0.06228,0,0.3123996789727127,"{""budget"": 6837}"
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,P2,0.05873565845383835,5873.565845383835,0.1,10000,4,956,8835,1.0,0,10000,0.06532,0,0.32487814582711627,"{""budget"": 6800}"
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,P2,0.058577883833017624,5857.788383301762,0.1,10000,5,955,8841,1.0,0,10000,0.06419,0,0.3217221331194868,"{""budget"": 6800}"
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,0.05903826478593168,5903.826478593168,0.1,10000,4,933,8884,1.0,0,10000,0.06583,0,0.3249740830330256,"{""budget"": 6897}"
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,0.05865454988223021,5865.454988223021,0.1,10000,4,909,8909,1.0,0,10000,0.06414,0,0.3190409868682849,"{""budget"": 6822}"
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,0.05850802995063982,5850.802995063982,0.1,10000,4,867,8943,1.0,0,10000,0.06338,0,0.31592064599740804,"{""budget"": 6854}"
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,0.058458776616951494,5845.877661695149,0.1,10000,5,859,8938,1.0,0,10000,0.06266,0,0.31493767591475674,"{""budget"": 6861}"
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,P2,0.05857116142141075,5857.116142141075,0.1,10000,5,882,8910,1.0,0,10000,0.0635,0,0.3187430980825218,"{""budget"": 6811}"
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,P2,0.05851802307074798,5851.802307074798,0.1,10000,5,893,8894,1.0,0,10000,0.06303,0,0.3151342432878356,"{""budget"": 6809}"
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,P2,0.05820018479910196,5820.018479910196,0.1,10000,4,914,8909,1.0,0,10000,0.06196,0,0.3121725110842402,"{""budget"": 6904}"
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,P2,0.05826397196590628,5826.3971965906285,0.1,10000,7,1909,7351,1.0,0,10000,0.06159,0,0.31148535882263695,"{""budget"": 6902}"
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,P2,0.058807421110556896,5880.74211105569,0.1,10000,8,1845,7432,1.0,0,10000,0.06406,0,0.318976248568441,"{""budget"": 6814}"
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,P2,0.05867763946365256,5867.763946365256,0.1,10000,7,1796,7453,1.0,0,10000,0.06408,0,0.3212191087272545,"{""budget"": 6797}"
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,P2,0.058663274553529425,5866.327455352943,0.1,10000,6,1878,7372,1.0,0,10000,0.0634,0,0.3176989376628583,"{""budget"": 6800}"
device_0,0.375,1705,1.2,42.0,0.1,drop,48,16,3,0.1976,0.38054564128452917,3144,6856,1000,P2,0.0580651955582715,5806.51955582715,0.1,10000,7,1928,7378,1.0,0,10000,0.06208,0,0.31417004048582997,"{""budget"": 6856}"
device_0,0.375,1706,1.2,42.0,0.1,drop,48,16,3,0.19975,0.37847803043317246,3216,6784,1000,P2,0.05861149721200116,5861.149721200116,0.1,10000,7,1830,7501,1.0,0,10000,0.06281,0,0.3144430538172716,"{""budget"": 6784}"
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2,0.058256320670407986,5825.632067040799,0.1,10000,7,1854,7474,1.0,0,10000,0.0625,0,0.31635958696092326,"{""budget"": 6821}"
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,0.05870398687358931,5870.398687358931,0.1,10000,7,1855,7462,1.0,0,10000,0.06422,0,0.3216145833333333,"{""budget"": 6974}"
device_0,0.375,1709,1.2,42.0,0.1,drop,48,16,3,0.20214,0.3789219763360735,3255,6745,1000,P2,0.058940336877960874,5894.033687796087,0.1,10000,8,1852,7378,1.0,0,10000,0.06617,0,0.3273473830018799,"{""budget"": 6745}"
device_0,0.375,1710,1.2,42.0,0.1,drop,48,16,3,0.19842,0.37511826036297974,3242,6758,1000,P2,0.05821814089061365,5821.814089061365,0.1,10000,7,1851,7418,1.0,0,10000,0.06257,0,0.3153411954440077,"{""budget"": 6758}"
device_0,0.75,1701,1.2,42.0,0.1,drop,48,16,3,0.20817,0.7556341521150168,3279,6721,1000,P2,0.060108579047983855,6010.857904798386,0.1,10000,9,2353,6121,1.0,0,10000,0.07043,0,0.3383292501321036,"{""budget"": 6721}"
device_0,0.75,1702,1.2,42.0,0.1,drop,48,16,3,0.20244,0.7487885933421545,3324,6676,1000,P2,0.05882259734971196,5882.259734971196,0.1,10000,10,2361,6003,1.0,0,10000,0.06568,0,0.32444180991898836,"{""budget"": 6676}"
device_0,0.75,1703,1.2,42.0,0.1,drop,48,16,3,0.20102,0.7470900970852136,3268,6732,1000,P2,0.05885061708858584,5885.061708858584,0.1,10000,10,2354,5966,1.0,0,10000,0.06437,0,0.32021689384140883,"{""budget"": 6732}"
device_0,0.75,1704,1.2,42.0,0.1,drop,48,16,3,0.19715,0.7479806369104111,3132,6868,1000,P2,0.05802815684340856,5802.815684340856,0.1,10000,12,2347,5956,1.0,0,10000,0.06058,0,0.3072787217854426,"{""budget"": 6868}"
