N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
2,common,0.0,1.2,0.05,drop,0.0,0.005140000000000001,1.0,0.9935045254523682
2,common,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
2,common,0.0,1.2,0.15,drop,0.0,0.010143999999999997,1.0,0.997970843610862
2,common,0.0,1.2,0.15,late,0.0,0.019287999999999993,1.0,0.9952689732178742
2,common,0.0,1.35,0.05,drop,0.0,0.0012640000000000025,1.0,0.9997522050655281
2,common,0.0,1.35,0.05,late,0.0,0.0058100000000000035,1.0,0.9961834167810313
2,common,0.0,1.35,0.15,drop,0.0,0.00010999999999999621,1.0,0.9999996673454117
2,common,0.0,1.35,0.15,late,0.0,0.032103999999999994,1.0,0.9858321934124792
2,common,0.0,1.5,0.05,drop,0.0,2.400000000000041e-05,1.0,0.9999994212285646
2,common,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.0,1.5,0.15,drop,0.0,1.599999999999935e-05,1.0,0.9999999715251986
2,common,0.0,1.5,0.15,late,0.0,0.020383999999999992,1.0,0.9947100124385241
2,common,0.75,1.2,0.05,drop,0.0,0.0027460000000000006,1.0,0.996888398898953
2,common,0.75,1.2,0.05,late,0.0,0.00019800000000000096,1.0,0.9999600445990025
2,common,0.75,1.2,0.15,drop,0.0,0.012771999999999995,1.0,0.997572245189082
2,common,0.75,1.2,0.15,late,0.0,0.021647999999999994,1.0,0.993900968462458
2,common,0.75,1.35,0.05,drop,0.0,0.0017000000000000014,1.0,0.9994949760593137
2,common,0.75,1.35,0.05,late,0.0,0.005540000000000002,1.0,0.9965198094729866
2,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
2,common,0.75,1.35,0.15,late,0.0,0.03133199999999999,1.0,0.9865621539282176
2,common,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,common,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.75,1.5,0.15,drop,0.0,0.00010000000000000009,1.0,0.9999988814567906
2,common,0.75,1.5,0.15,late,0.0,0.020329999999999994,1.0,0.9947402463585439
2,common,0.975,1.2,0.05,drop,0.0,0.0026520000000000007,1.0,0.9969437381845113
2,common,0.975,1.2,0.05,late,0.0,0.0014540000000000004,1.0,0.999154758901434
2,common,0.975,1.2,0.15,drop,0.0,0.006415999999999996,1.0,0.9989522915574465
2,common,0.975,1.2,0.15,late,0.0,0.019303999999999995,1.0,0.9950781813218732
2,common,0.975,1.35,0.05,drop,0.0,0.0009160000000000016,1.0,0.9998036824126915
2,common,0.975,1.35,0.05,late,0.0,0.005924000000000002,1.0,0.995911027018771
2,common,0.975,1.35,0.15,drop,0.0,6.400000000000017e-05,1.0,0.9999998468900315
2,common,0.975,1.35,0.15,late,0.0,0.03238599999999999,1.0,0.9855514094964274
2,common,0.975,1.5,0.05,drop,0.0,0.0003380000000000001,1.0,0.9998777727098783
2,common,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
2,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
