N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,I1_energy_j,J1_energy_j,I2_energy_j,J2_energy_j,server_only_percent,targeting_indep_percent,targeting_joint_percent,interaction_percent_points,total_percent,identity_error_percent_points,I1_violation_rate_mean,J1_violation_rate_mean,I2_violation_rate_mean,J2_violation_rate_mean,I1_violation_set_sha256_by_device_json,J1_violation_set_sha256_by_device_json,I2_violation_set_sha256_by_device_json,J2_violation_set_sha256_by_device_json,I2_violation_spread,J2_violation_spread,I2_jain_index,J2_jain_index,J2_source,J2_heuristic_selected,J2_I2_guard_selected,J2_J1_guard_selected,J2_repair_success,J2_lambda_initial_json,J2_lambda_final_json,J2_iterations
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,0.23052710155283854,0.18933568835887196,0.20785183503625812,0.1655075119182153,17.86836034310057,9.836269299288038,10.336388337921761,0.5001190386337235,28.20474868102233,0.0,0.021249999999999998,0.021249999999999998,0.05,0.045869999999999994,"[""745ca6f56d3bff981fa8a8c2220334722e9649f6567a8ad5bee4cafe586f120f"", ""c00d35380caae6cf261c528d14545ab7514464fd4a6a824603b9c6e2b3fa3e39""]","[""745ca6f56d3bff981fa8a8c2220334722e9649f6567a8ad5bee4cafe586f120f"", ""c00d35380caae6cf261c528d14545ab7514464fd4a6a824603b9c6e2b3fa3e39""]","[""05ad45ccbe3ca9ec57dc917621a8019d9dfe68266dee15ee393d749e9cff9d9e"", ""e7426e170d7803ebad31aa81b4eb1d00b0b1e28e3cfa65291f10d52efa0df2f9""]","[""2f9968d6ca21523d2c56b632efd0f46dc6bc78bf6eba442834fc0368762585bb"", ""7f24e9694f0b369390cf6fc7d6ec7365eb9431bde02f770ac7ce1b0bdab3a8a6""]",0,0.006859999999999998,1,0.994439560080154,heuristic,True,False,False,True,"[0.03865665038485436, 0.03865861593283939]","[0.43620943190276684, 0.4139215000481607]",20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,0.22834220184334408,0.18743917114397599,0.20632466535804678,0.16588151073261942,17.91304032682926,9.642342198487954,9.440944440987025,-0.2013977575009296,27.353984767816286,0.0,0.022080000000000002,0.022080000000000002,0.05,0.05,"[""6497c25e0b638f4e9c57b9700f2af9f422b8d936724abaeea15450dc8e0a5568"", ""a6e9a48718e31d9f4849ca62e1cb9636ad5dac546e44d34ce4bf555269055e59""]","[""6497c25e0b638f4e9c57b9700f2af9f422b8d936724abaeea15450dc8e0a5568"", ""a6e9a48718e31d9f4849ca62e1cb9636ad5dac546e44d34ce4bf555269055e59""]","[""d82dcec5313e16ec64b7fac99c3ee07619e011c8225b389db149c74d26d63b0f"", ""d595afb33f0b3d4b6ebaeb1f2103392865b02af3bdcb03230c6e5679fc83fa4f""]","[""642ba9c3ed2b2638c933a21d5e378dcf13e462247b8c314383d897b3135d3e96"", ""5612458e1f9ad37f5fec954c8d80b453eea911fa02d4696d64fc9c0efe27a5e8""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03865455343682469, 0.03850046853855888]","[0.4363928781665094, 0.4208161231686273]",20
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,0.2289758027516165,0.1876070105150089,0.2067676892762959,0.16887074989367443,18.066883810200142,9.698890978192589,8.18263781420554,-1.5162531639870487,26.24952162440568,-1.7763568394002505e-15,0.02184,0.02184,0.05,0.04328,"[""48ce2a7c0b337780fc4e0fbe0cb2a6d02f67a51713af9b18d9d32cab16bff6d5"", ""e53d6cd443e8be868e2fab2eae1c05818b09faa1282a39905f562b8a074ad00c""]","[""48ce2a7c0b337780fc4e0fbe0cb2a6d02f67a51713af9b18d9d32cab16bff6d5"", ""e53d6cd443e8be868e2fab2eae1c05818b09faa1282a39905f562b8a074ad00c""]","[""5c66da09f2b0bc79af79260b4c67677075488a3b16d9de2a3399140854ddce5d"", ""0de0a11d79b014282b8e7488c34d1f4ca5264dcab1b6c00e0ce28b0525eddd98""]","[""a39241d8d3ec68d725bfa56418313051eb696cd91533f35ebf11e982d10bf1bc"", ""7b62dcdb45917058d340a0ccbdcee54e2f0fe27a222737469b9b5f794b0a790f""]",0,0.01344,1,0.9764593627079737,heuristic,True,False,False,True,"[0.03856371231660493, 0.038718057923336185]","[0.400177531406653, 0.3961756938565849]",20
2,independent,0.0,1704,1.2,53.988,44.99,0.05,drop,0.22888729755124085,0.1875191873331185,0.20704691848188958,0.17238265031447,18.073571867334092,9.541979525736625,6.6130961309724485,-2.928883394764177,24.68666799830654,-8.881784197001252e-16,0.02231,0.02231,0.05,0.036449999999999996,"[""e1ace871fc974d6ed8a4305a69e89cbf2592eb612f57fe5db9200f23c03bfe86"", ""5195f4d68c7c9af51f7483663eba327387127f7c1c54d497ddaef8fcdf4c6357""]","[""e1ace871fc974d6ed8a4305a69e89cbf2592eb612f57fe5db9200f23c03bfe86"", ""5195f4d68c7c9af51f7483663eba327387127f7c1c54d497ddaef8fcdf4c6357""]","[""e841f79206f85b275e4afb8f933b8679e8cc5f86bc4ffbce6094cdb0f314c4f2"", ""a7fddf5e6ef64fb125b0970f2b64b3667ef12483d46a7e4a41d9f0162140614c""]","[""57c613f3368218ca4008422630f1dd97a60180edbe1ddc01846b1164d97ec381"", ""912c82a0584ab4e49140fe76b94175a646058f796f58a5cb0bd89908174afe90""]",0,0.00045999999999999514,1,0.9999601853121582,heuristic,True,False,False,True,"[0.038527947569270526, 0.038596340252226906]","[0.41706373986043754, 0.41628752046982215]",20
2,independent,0.0,1705,1.2,53.988,44.99,0.05,drop,0.2299929153647783,0.1888835475905533,0.20722723797349962,0.17220819678344412,17.874188737085152,9.898425503747095,7.250375856430791,-2.648049647316304,25.12456459351595,5.329070518200751e-15,0.02113,0.02113,0.05,0.03687,"[""18830835f8bf29cd237bdd8a2c9599b86177425fc66452a5070d210962fb4d56"", ""4733270e8bf1a889f07592f20558e30cce3ec4fd71cca81f17a4e674bb0e4cca""]","[""18830835f8bf29cd237bdd8a2c9599b86177425fc66452a5070d210962fb4d56"", ""4733270e8bf1a889f07592f20558e30cce3ec4fd71cca81f17a4e674bb0e4cca""]","[""297b77cc1dfd2048753a26a79111142f0ef07923d08ce849705cab834fab3250"", ""a4d49ed65ae48217aad375b535219d25f059b530037b8bbb5791205cc7022aa5""]","[""5e5ee3770a2991837da03fa5e98bdb74ff370e7c09a92dc5f8dcbb5b321865d7"", ""603311088b5537283557643d2e6edf8d2cafd3df8c4fd654e7080c753e439399""]",0,0.0121,1,0.9737804328569196,heuristic,True,False,False,True,"[0.03862962440349352, 0.03873992385939272]","[0.39104507600209293, 0.3960795610659254]",20
2,independent,0.0,1706,1.2,53.988,44.99,0.05,drop,0.22792744080857585,0.18680591241374916,0.20578303560844466,0.1662255874016491,18.04149963205285,9.715550317931706,9.029331851878412,-0.686218466053294,27.07083148393126,-1.7763568394002505e-15,0.021920000000000002,0.021920000000000002,0.05,0.05,"[""e037b5232ccf37a0750b7e85d7f467aad8b99b167ef3c03a9de1d1bfa7daa3e0"", ""0ec2a00c89e92c3c454c36f04cfb102cb5ab48c20bd978936c7af291a67a45b6""]","[""e037b5232ccf37a0750b7e85d7f467aad8b99b167ef3c03a9de1d1bfa7daa3e0"", ""0ec2a00c89e92c3c454c36f04cfb102cb5ab48c20bd978936c7af291a67a45b6""]","[""0e3932934bf4e138b46b7e59da0035b80bfb6dc5e058863e35d44da48c512c0f"", ""7f99f8927798492694ff5c68616a8c87c3ebe019cc616c79f4f6cd787d94a9d2""]","[""8dedf6361ce3524ea33f3906fa087232abe1ec48d6d37550b81e81befecd5e3c"", ""85a4102b67b3753fe7c3732254b9eef9228b4ef6261cc08268362564396277c7""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.038544902842547885, 0.03864166122772538]","[0.38549920889159045, 0.41097772168731805]",20
2,independent,0.0,1707,1.2,53.988,44.99,0.05,drop,0.2297103824672697,0.18835654568373436,0.20768341082211825,0.16925804682849288,18.00259802772635,9.589018749855583,8.314164405678412,-1.2748543441771716,26.31676243340476,0.0,0.02207,0.02207,0.05,0.040940000000000004,"[""a2138f333904e2821155ba30842fbe37750d64ef3f098affc8df4c97d297cde2"", ""0ff0173e716ba425a6877a0792bd97871c4721b6b58af4b4a1e049cb10f5e248""]","[""a2138f333904e2821155ba30842fbe37750d64ef3f098affc8df4c97d297cde2"", ""0ff0173e716ba425a6877a0792bd97871c4721b6b58af4b4a1e049cb10f5e248""]","[""82b738c34bf031955014e82a011c31332b34ac78790e838e991d6a205b2d1708"", ""e8f7b13f61eecfbd0b38764d3ce5cf41314944ae1b8bef04504fad113f5cfa7f""]","[""12ba671f1405ef02f1f99e965acf5fc9bedab786cf1793acbebc454619f73b55"", ""1c36861e475b694c21e7ddbe2f49ba9ef1f3ceb874ea9e7dcc57636aee57e741""]",0,0.012159999999999997,1,0.9784207115962757,heuristic,True,False,False,True,"[0.03868055451188912, 0.038655100351018455]","[0.3986560437276676, 0.42667159515462433]",20
2,independent,0.0,1708,1.2,53.988,44.99,0.05,drop,0.22862904197078907,0.18732562061378874,0.2066488298785965,0.16571401653518533,18.065693229942976,9.613919519026316,9.45269415132511,-0.16122536770120632,27.518387381268084,-1.7763568394002505e-15,0.02213,0.02213,0.05,0.05,"[""a4fcd3d6aacc870302f4e03b3343505cf53825ce983cdeafa3e1c7a607983ceb"", ""bc48b99f69c87cd580adb9637e341fc74335082b918230efbc3f2fdadd444e67""]","[""a4fcd3d6aacc870302f4e03b3343505cf53825ce983cdeafa3e1c7a607983ceb"", ""bc48b99f69c87cd580adb9637e341fc74335082b918230efbc3f2fdadd444e67""]","[""13ab15bd90ce328179e592eed6c945c7a91f0aa41b0f89a3c223b904199d33b8"", ""0b96ff961faac71c03e4c596ecdcb7d6ec3222d2d80e3dd2c1ad00b824bdcfa5""]","[""df776bbb0e91f728c23d72507f24e5717a7467bec4d6f8b33b87e06cb9cbad27"", ""52b86389df15f0ff6adca4d390aa6a04141e1c283399eeee9e865ee6e4056292""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.038624959941195136, 0.038697578267510274]","[0.4106077472343093, 0.41391875965095254]",20
2,independent,0.0,1709,1.2,53.988,44.99,0.05,drop,0.2304164736460027,0.18877889993243652,0.2086627868226602,0.17409693015311636,18.070571541484277,9.441029314928016,6.371927122657298,-3.0691021922707185,24.442498664141578,2.6645352591003757e-15,0.022420000000000002,0.022420000000000002,0.05,0.03567,"[""c57ea3efe0139c9c2d7cb76e9e38c1e7a5bf65169cb3f9fb7d8477a98915b328"", ""803d90d36da3bfcc93d1884768a694d4da40d71acc6f904d6b7e381d0e2f4e31""]","[""c57ea3efe0139c9c2d7cb76e9e38c1e7a5bf65169cb3f9fb7d8477a98915b328"", ""803d90d36da3bfcc93d1884768a694d4da40d71acc6f904d6b7e381d0e2f4e31""]","[""7bc6b67d18b54678cf962b71b6bfa1367cedeb9da6d16ef8435d3e888728716c"", ""23eabbd01216ef610304dc2ed44dd5e5f161bcf18229cfb75aff883d10cd199f""]","[""015e3c3832055430273d70ddf6dca62c92eb1c0990293923ee62ba19f3e91bb7"", ""97cb990ddc08ee450fbbc8be7f2c74a2fb5d8b655ff9505bbc0f9d357603df41""]",0,0.004860000000000003,1,0.9953804948594717,heuristic,True,False,False,True,"[0.038621570328284574, 0.038655225921470054]","[0.4076464669577183, 0.39615039519891787]",20
2,independent,0.0,1710,1.2,53.988,44.99,0.05,drop,0.22904664211594614,0.1877077790785936,0.20635406150110053,0.17211003656545532,18.048229240761504,9.907405934970377,6.809854258960285,-3.0975516760100925,24.858083499721786,-2.6645352591003757e-15,0.02122,0.02122,0.05,0.03559,"[""7213aab4c6b719acec3f5a97ed686bf60edd056527cfdeb5f1db9461ca46c0e4"", ""14c6dcf4d4f53480c407d4780e11fca134f67ead5c400f9aadea2a87d8a72944""]","[""7213aab4c6b719acec3f5a97ed686bf60edd056527cfdeb5f1db9461ca46c0e4"", ""14c6dcf4d4f53480c407d4780e11fca134f67ead5c400f9aadea2a87d8a72944""]","[""6e35460b2c964e115d43dd6686820afea943f94d2b8b8303c56db736c5af3d6c"", ""331cd7e4a3cc70197ea19cf00ffc926518b94bf19935f41cf2c4a37d71e5240c""]","[""ca45c15a51c62753938d9334561f93d574b3c68d47d9adc0470cd3e8475fa1db"", ""474ba8fe2f02b824abad35c10ba56067e09b0d03e7445c5006326788e3179a27""]",0,0.0038999999999999937,1,0.9970069674491868,heuristic,True,False,False,True,"[0.03868046952048019, 0.03872383788531289]","[0.41354451270993897, 0.40973218316722404]",20
