N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,independent,0.0,1701,1.2,53.988,44.99,0.05,drop,793068085861528db3354bd09d17b72e957c99c48493f71385b6122294753b02
2,independent,0.0,1702,1.2,53.988,44.99,0.05,drop,e2ea81f6566db8de76d3461ef1c5518027247485790b8cd4040ae4ca47b2810d
2,independent,0.0,1703,1.2,53.988,44.99,0.05,drop,9eea2491e1a5eb58056b966ca853683ac2edea7ebb41ecd47c6d4bf4d48c4f7f
2,independent,0.75,1701,1.2,53.988,44.99,0.05,drop,b0322c62a04b928508b3e460aca913dfd630ef76343e7bea9eecba77a7aa8b4d
2,independent,0.75,1702,1.2,53.988,44.99,0.05,drop,ab40ada0c0fcbf5fc33a6bff5b2f1b1182cd7774a2fa659fd6036f4bc5b19253
2,independent,0.75,1703,1.2,53.988,44.99,0.05,drop,4807e84f56735d66efc9a8eb1364d4d08da8d7658944b88296f2ac5f4f3f626c
2,independent,0.975,1701,1.2,53.988,44.99,0.05,drop,377b206b263642a1392fbbc4c44f9f9a142e5d3a2013ea75e47c24842b4de883
2,independent,0.975,1702,1.2,53.988,44.99,0.05,drop,6e4a03bc1dc5c1b8ad2068df5c32a39e0614e9bcb086aaa275facb718ae10b01
2,independent,0.975,1703,1.2,53.988,44.99,0.05,drop,d21f0babec4ef21eb5da8ad2bd74d64dec28845476687d66c36b12bd424c0eb5
2,common,0.0,1701,1.2,53.988,44.99,0.05,drop,bc18e67e020250d347eca67e7b3ae0a8644f24d1d749aa0b7155675e8c05f1f3
2,common,0.0,1702,1.2,53.988,44.99,0.05,drop,beb4c6567e8ca34ff3c6469c0728ae36f7222140add5fb674d8bd00e2a963966
2,common,0.0,1703,1.2,53.988,44.99,0.05,drop,5d8e58bb39ebc66a8daf017fcbbeabc8f3cd821a50b1cf188f27e9d8204b050a
2,common,0.75,1701,1.2,53.988,44.99,0.05,drop,1ba428d63db54d667237bc1cd10982b935da7025602db2aaf22e582ffd0086c6
2,common,0.75,1702,1.2,53.988,44.99,0.05,drop,2cc529064db5c608560b86bb951acd37b1a57308e1f268c552fbcae2f0a58d8d
2,common,0.75,1703,1.2,53.988,44.99,0.05,drop,68d2ec253bc9b3935b7e3bbdcbd1f3aade40361442597e9415c783fbb83e7c51
2,common,0.975,1701,1.2,53.988,44.99,0.05,drop,e9b2361937ef36e78a38c0ccf80adccceea5fc419b297e799240df8c5d1d843e
2,common,0.975,1702,1.2,53.988,44.99,0.05,drop,df23637eafca6d634bd1c851919847cfb0c109213bb4a994b76d90f9f638a80f
2,common,0.975,1703,1.2,53.988,44.99,0.05,drop,fbf7dcbaad503986e2caa61b03935df37f27e614007042f59cc6c434a24b9c7f
2,independent,0.0,1701,1.2,53.988,44.99,0.05,late,db892b5ef94904a43e3b9d022040f06158e3a57d3ac627888fbedea379825bf2
2,independent,0.0,1702,1.2,53.988,44.99,0.05,late,d6ffc14a6d1b61ce9fdbbc792808a6c58225b11cb8bc93ceb1cb3dfc94927893
2,independent,0.0,1703,1.2,53.988,44.99,0.05,late,24025981c8645691ff54b83f5822ccd4bc577391ed1516149d51a35365b00e9b
2,independent,0.75,1701,1.2,53.988,44.99,0.05,late,e84360bc2e1fac3c03ad810b68ada5eaf93c8f6f745095110d300792acfe7288
2,independent,0.75,1702,1.2,53.988,44.99,0.05,late,130575a8e67dd0dd7f09d8f8258c35f99ac915b2d3a6af8393536e760db1cfb0
2,independent,0.75,1703,1.2,53.988,44.99,0.05,late,4ab7620979fcbebb556e271d34905c12d3b023abf3c92ca1fc67a8e0cdfae83a
2,independent,0.975,1701,1.2,53.988,44.99,0.05,late,526f021fd1871224b5b00c32059287ee768211726a24ff1eaa26866e1a2e75d6
2,independent,0.975,1702,1.2,53.988,44.99,0.05,late,fed521c916baadb0e33e5dbd3f28eccbc71fccf16585d03dc74da6672d62a1b4
2,independent,0.975,1703,1.2,53.988,44.99,0.05,late,00a9a69e4d5658088696e503e2c2828e088ad9b5c1a7b918c11fabb5e74167bf
2,common,0.0,1701,1.2,53.988,44.99,0.05,late,1a32226e9dee0b6bbbb7741ede1c0f46880ab2b29bbb6f5b7f91e8a3b38d8ceb
2,common,0.0,1702,1.2,53.988,44.99,0.05,late,c19d3ba55fd027844d7668c29409f5e44a87f0b55d0b1453237b3acd7d9facec
2,common,0.0,1703,1.2,53.988,44.99,0.05,late,f3e5e3ac23c857b1ac02dada17cc5f302f024c391222eeeee219143cdf7f29e3
2,common,0.75,1701,1.2,53.988,44.99,0.05,late,421a31f81d7d29f6df621f9a1f8c7be543e2490a4b2c1fe05dc5da099be604dc
2,common,0.75,1702,1.2,53.988,44.99,0.05,late,0e1206af244a9929c82c98528a721441a8244ebaf512fb99d10b9999296bbd02
2,common,0.75,1703,1.2,53.988,44.99,0.05,late,47c09e5267dd1d975bb26514bda61c037a9a465aeaf7d271b818b0b0f3a49537
2,common,0.975,1701,1.2,53.988,44.99,0.05,late,d6991813cebea246c30d4baf9973223f1aa00a59dcc03b9c26d994cb8f811b8c
2,common,0.975,1702,1.2,53.988,44.99,0.05,late,5e342df6b9efbe2c667fcbd5b6800e55ddff7ed19a25d3d392080e23bfa2ac05
2,common,0.975,1703,1.2,53.988,44.99,0.05,late,4764bea005af4b7a27991d3cbd1549cb009710a35abdff45bc75a6f50bf842b0
2,independent,0.0,1701,1.2,53.988,44.99,0.15,drop,fa657ac7a4a35f27a76ef5e248aa1cc39ac0e3a021fe170a3b58a3c47a004078
2,independent,0.0,1702,1.2,53.988,44.99,0.15,drop,4ae2ec75bef069d52b894456c3c177f39d2a43c7cb8ea7e3d7988cd31d5ce208
2,independent,0.0,1703,1.2,53.988,44.99,0.15,drop,5991d2434ba4f5b975901c319632cbb944e334ff62d3fc2828a5881cb42fdb4e
2,independent,0.75,1701,1.2,53.988,44.99,0.15,drop,22f4bbf897e0b39aac7c7703c5aba3c090534730855c4f27f3362a73a2198567
2,independent,0.75,1702,1.2,53.988,44.99,0.15,drop,2c0f457ef36b796ec2a4dc3af0fddb40b6c94e86cecc778a1fc86972c0a78622
2,independent,0.75,1703,1.2,53.988,44.99,0.15,drop,ecf8d7bb8e2d7904b3001321d8052eb2105bc6b49cd7caea9180a654de5d81dc
2,independent,0.975,1701,1.2,53.988,44.99,0.15,drop,dbf342adf2403272baabbb4ba15f35beb3715471fc0d0fa8b00105c0064cd277
2,independent,0.975,1702,1.2,53.988,44.99,0.15,drop,7f2dfc1aadc5780aa32beba2e1fb9f9c5c7f50301b581b66b2b1ec5af6968bcf
2,independent,0.975,1703,1.2,53.988,44.99,0.15,drop,efc16e3c7d42075224944873aaf5d7620cbf6d94f0d356cf89e2bce44d8e420d
2,common,0.0,1701,1.2,53.988,44.99,0.15,drop,de7b14aef8688d7d39c8c5856c21b5a240fae15a9edb714d51449a0cf9b978a0
2,common,0.0,1702,1.2,53.988,44.99,0.15,drop,cc642b8b4ef04e0b53d0fef7b94360b0c04d8f7a189e7620867d430824a85f46
2,common,0.0,1703,1.2,53.988,44.99,0.15,drop,2feec000991fd1862f41b5eca8f7bf709d975c0228e59cfd4ed2c2faa03fd0d6
2,common,0.75,1701,1.2,53.988,44.99,0.15,drop,a2bcae41fceae25164805cd0f5c1aee69178512d64c3467ca1c4860efbb8374e
2,common,0.75,1702,1.2,53.988,44.99,0.15,drop,710d7e4d45e122e6517c3167d774ed1447d5f1ed37cefaba940037f73c21a452
2,common,0.75,1703,1.2,53.988,44.99,0.15,drop,e4c3daa40f4893e53aa5e5518cab0820f0e7fc6a798bf1bc42799d6ba8466fe4
2,common,0.975,1701,1.2,53.988,44.99,0.15,drop,8aa32aca235de4bf8dbf3decc3d2af13801441f57204cffeedd8938e9b4f0cdc
2,common,0.975,1702,1.2,53.988,44.99,0.15,drop,831695fe23a9ce51f5040014a24fdf6a6ce75efcb621691fddb88158a885b4d5
2,common,0.975,1703,1.2,53.988,44.99,0.15,drop,cec2631be35539d13a39195fdc279485a9aba60a44b41697ee12af4e12219aab
2,independent,0.0,1701,1.2,53.988,44.99,0.15,late,ea0fd5ee16025fc2b23a6e5d7821e05d5724f8c5afab67c5ded1ced61861ea31
2,independent,0.0,1702,1.2,53.988,44.99,0.15,late,a198af4a48959c3f541a1b784a4f02318a63750e68d4ec6072cb3793746f2e0d
2,independent,0.0,1703,1.2,53.988,44.99,0.15,late,57ce5a0f1437c8062555971c3f46f353c9cc912e5933df1c856a391d397f3475
2,independent,0.75,1701,1.2,53.988,44.99,0.15,late,4f356a25f29a7526a80083c499b6a953d424ce2e9e9a4fff7a9dfce8eb4bc04a
2,independent,0.75,1702,1.2,53.988,44.99,0.15,late,ad3586b19ba6b18334f3f784b8b92f73422babd71cc8e3794efb3f5a351e9c49
2,independent,0.75,1703,1.2,53.988,44.99,0.15,late,993c40e147a310ec8dc465ddbd3f31821a0e869d270e89d0c22447f76abd36da
2,independent,0.975,1701,1.2,53.988,44.99,0.15,late,bef017bbac162de565ed291a63fb09ec63ac400a84e1306864c316b9c7c4a0cc
2,independent,0.975,1702,1.2,53.988,44.99,0.15,late,dad804c7482af6de365bfd2983885be5e0783149e0abb0e1c569d679f6014a10
2,independent,0.975,1703,1.2,53.988,44.99,0.15,late,a6d202029b30d83efbcf43db886cd395be319d862770e9a04bb52cbcb593cd1f
2,common,0.0,1701,1.2,53.988,44.99,0.15,late,c279236c8c2b8e79cb0db26e4492b421df7d3c45efffdc241bdd7649595b3f5b
2,common,0.0,1702,1.2,53.988,44.99,0.15,late,91310f4129c4d8474ccb4d428639bb011406d9b4b062111839fa75e0db76f062
2,common,0.0,1703,1.2,53.988,44.99,0.15,late,e18b1a91efe13d5e860b61eef8e7c9c35a1d722131996de31daf55939b069750
2,common,0.75,1701,1.2,53.988,44.99,0.15,late,218bfe437ae2db445cc7b64d70faf8b1180f6f8a95bb13b0280a2a039da18015
