N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I1_energy_j_mean,I1_energy_j_std,J1_energy_j_mean,J1_energy_j_std,I2_energy_j_mean,I2_energy_j_std,J2_energy_j_mean,J2_energy_j_std,server_only_percent_mean,server_only_percent_std,targeting_indep_percent_mean,targeting_indep_percent_std,targeting_joint_percent_mean,targeting_joint_percent_std,interaction_percent_points_mean,interaction_percent_points_std,total_percent_mean,total_percent_std,identity_error_percent_points_mean,identity_error_percent_points_std,I1_violation_rate_mean_mean,I1_violation_rate_mean_std,J1_violation_rate_mean_mean,J1_violation_rate_mean_std,I2_violation_rate_mean_mean,I2_violation_rate_mean_std,J2_violation_rate_mean_mean,J2_violation_rate_mean_std,I2_violation_spread_mean,I2_violation_spread_std,J2_violation_spread_mean,J2_violation_spread_std,I2_jain_index_mean,I2_jain_index_std,J2_jain_index_mean,J2_jain_index_std,J2_heuristic_selected_mean,J2_heuristic_selected_std,J2_I2_guard_selected_mean,J2_I2_guard_selected_std,J2_J1_guard_selected_mean,J2_J1_guard_selected_std,J2_repair_success_mean,J2_repair_success_std,seed_count
2,common,0.0,1.35,0.15,drop,0.1704850071172334,0.0010386428715307764,0.1560735420508973,9.95371019763162e-06,0.08902520184008184,0.0004052834477536467,0.0857406644768419,0.00011460043356887154,8.451534343971355,0.5519006734049636,47.779520278414935,0.5558657349906476,41.25512536577177,0.17827918133420126,-6.524394912643167,0.7341449163248488,49.70665970974312,0.3736214920707599,3.552713678800501e-15,5.0242958677880805e-15,0.00405,0.0003535533905932739,0.00405,0.0003535533905932739,0.15,0.0,0.14965,0.0004949747468305974,0.0,0.0,0.0006999999999999923,0.0009899494936611555,1.0,0.0,0.9999890090072305,1.5543611038406034e-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,common,0.0,1.35,0.15,late,0.17197752277456593,0.0011703915240588883,0.1575660577082298,0.0001417023627257729,0.12551099984288733,3.781259661266517e-05,0.12010846755999655,3.710278342277023e-05,8.378012500955652,0.5411367707379132,27.017186282424042,0.5186708402307377,21.78066560107102,0.04425806157806821,-5.236520681353019,0.5629289018088072,30.158678102026677,0.4968787091598416,1.7763568394002505e-15,2.5121479338940403e-15,0.00405,0.0003535533905932739,0.00405,0.0003535533905932739,0.15,0.0,0.134575,0.0002474873734152742,0.0,0.0,0.030849999999999995,0.0004949747468305778,1.0,0.0,0.9870302338177237,0.00045779922099791246,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,common,0.975,1.35,0.15,drop,0.16805529368485028,6.499636498895509e-05,0.15486983769085497,0.00021914751157568852,0.08693662000012234,0.0003640908712291634,0.0836971748654471,0.0001035760789815339,7.845921720438193,0.09476090101840948,48.269076094677224,0.19664221451733432,42.35073126165135,0.05239049291297358,-5.9183448330258805,0.24903270743031042,50.19665298208954,0.042370408105437456,3.552713678800501e-15,5.0242958677880805e-15,0.0034,0.0,0.0034,0.0,0.15,0.0,0.149525,0.0002474873734153036,0.0,0.0,0.0009499999999999925,0.0004949747468305876,1.0,0.0,0.9999885213721491,1.0553704262944649e-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,common,0.975,1.35,0.15,late,0.1693074801229814,5.935335431291523e-05,0.15612202412898613,0.00021350450089958976,0.12333841059821904,0.000281990107632893,0.11829740810656844,0.00016032959604107358,7.787892073447578,0.09377820852760009,27.15125837350025,0.141016767675832,22.340745247952285,0.21296998513922974,-4.810513125547967,0.3539867528150617,30.12863732139986,0.11919177661162932,-1.7763568394002505e-15,2.5121479338940403e-15,0.0034,0.0,0.0034,0.0,0.15,0.0,0.1335,0.0014142135623730963,0.0,0.0,0.032999999999999995,0.0028284271247461827,1.0,0.0,0.9848742862207213,0.002855499080874415,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,independent,0.0,1.35,0.15,drop,0.17036619207747067,0.0005967463067837703,0.1422274329957332,0.00047896831838525064,0.08890362230369399,0.0010483296355451232,0.08201968013912742,0.0017032502148352031,16.51661346944386,0.011279061461404607,47.81691684897743,0.4325558992011616,35.34167527490291,0.8424101172348994,-12.475241574074516,0.4098542180337377,51.85828874434678,0.8311310557734948,7.105427357601002e-15,0.0,0.00395,0.00021213203435596466,0.00395,0.00021213203435596466,0.15,0.0,0.14735,0.0002828427124746271,0.0,0.0,0.003699999999999995,0.002828427124746173,1.0,0.0,0.9997959181548828,0.00024168429148127172,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,independent,0.0,1.35,0.15,late,0.17182270914798714,0.0006726529214576688,0.14368395006624968,0.0005548749330591197,0.12540182738647176,0.000997390641981164,0.11618780469828913,0.0007759102407531097,16.37661535279298,0.0044349241319058715,27.017309504071562,0.29476338995776785,16.003000338998035,0.19129017265817042,-11.014309165073525,0.10347321729959874,32.37961569179102,0.18685524852626578,-1.7763568394002505e-15,2.5121479338940403e-15,0.00395,0.00021213203435596466,0.00395,0.00021213203435596466,0.15,0.0,0.14982499999999999,0.00010606601717797044,0.0,0.0,0.0003500000000000031,0.00021213203435596054,1.0,0.0,0.9999983839550493,1.6560547138828883e-06,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,independent,0.975,1.35,0.15,drop,0.16689218866840316,0.0002721866909213787,0.14079064220747467,0.0002906659005970635,0.08701688603369796,0.0003779629483802102,0.0790639507931292,0.000567596151101449,15.639795038770536,0.036579693001616995,47.860535449568815,0.14143637700459538,36.98615245244072,0.22625482832757418,-10.874382997128098,0.08481845132298133,52.62594749121126,0.2628345213291994,0.0,1.0048591735576161e-14,0.00325,7.071067811865494e-05,0.00325,7.071067811865494e-05,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2,independent,0.975,1.35,0.15,late,0.16808916014345898,0.0003007829180034511,0.14198761368253043,0.0003192621276791065,0.12301995614831374,0.0003725382147550238,0.11395845139246819,0.000725462880207671,15.528428342099865,0.03878065040449655,26.812758368224607,0.09066824632751654,16.675418316635152,0.2714973184119305,-10.137340051589456,0.18082907208441518,32.20384665873502,0.3102779688164264,-1.7763568394002505e-15,2.5121479338940403e-15,0.00325,7.071067811865494e-05,0.00325,7.071067811865494e-05,0.15,0.0,0.149975,3.535533905932348e-05,0.0,0.0,4.999999999999449e-05,7.071067811864696e-05,1.0,0.0,0.999999944407395,7.8619815907605e-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
4,common,0.0,1.35,0.15,drop,0.27948041943976376,0.00029259239107499313,0.26422705404457386,5.183900615773564e-05,0.1629901775707956,0.0008946977571262893,0.15423646690390994,0.0003328678791281892,5.4577160577338955,0.08042943525576635,41.680803415298485,0.3811842314408681,39.35533167578315,0.09644903920660573,-2.32547173951534,0.28473519223425986,44.81304773351704,0.1768784744623755,-3.552713678800501e-15,5.0242958677880805e-15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
4,common,0.0,1.35,0.15,late,0.27948041943976376,0.00029259239107499313,0.26422705404457386,5.183900615773564e-05,0.23033188790020717,0.00019782237163281573,0.22413636394773215,0.00028896577260844204,5.4577160577338955,0.08042943525576635,17.585597538718808,0.15706311134940162,14.344774590461668,0.09986334140285283,-3.240822948257139,0.25692645275225506,19.802490648195565,0.019433906147087416,8.881784197001252e-16,1.2560739669470201e-15,0.0,0.0,0.0,0.0,0.15,0.0,0.1372375,1.767766952969118e-05,0.0,0.0,0.033249999999999995,0.00021213203435597035,1.0,0.0,0.9903483369164556,4.368086186693977e-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
