N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,device,device_index,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_run_count_mean,violation_run_count_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,allocation_mean_mean,allocation_mean_std,allocation_max_mean,allocation_max_std,allocation_nonzero_rate_mean,allocation_nonzero_rate_std
2,common,0.0,1.35,0.15,drop,device_0,0,I1,0.0852425035586167,0.0005193214357653882,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.0731,0.003394112549695427,0.497975,0.00017677669529661742,0.5,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,drop,device_0,0,I2,0.04451260092004092,0.00020264172387682335,0.15,0.0,4.5,0.7071067811865476,187.0,0.0,1280.5,4.949747468305833,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.0,1.35,0.15,drop,device_0,0,J1,0.07787709316904959,0.00013761808699022267,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.049049999999999996,0.0016263455967290641,0.358056,0.0003811305550595966,0.705,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,drop,device_0,0,J2,0.04283352297624497,0.000738075526543446,0.1493,0.0009899494936611458,4.0,0.0,190.5,3.5355339059327378,1272.0,11.313708498984761,0.9502018842530282,0.07042517066999258,0.0019,0.002687005768508881,0.30105475000000004,0.006534020211554262,0.8525,0.20859650045003159,0.8507,0.0009899494936612145
2,common,0.0,1.35,0.15,drop,device_1,1,I1,0.0852425035586167,0.0005193214357653882,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.0731,0.003394112549695427,0.497975,0.00017677669529661742,0.5,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,drop,device_1,1,I2,0.04451260092004092,0.00020264172387682335,0.15,0.0,4.5,0.7071067811865476,187.0,0.0,1280.5,4.949747468305833,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.0,1.35,0.15,drop,device_1,1,J1,0.07819644888184768,0.0001276643767925665,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.05025,0.0003535533905932741,0.35781074999999996,0.00016510943340699829,0.705,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,drop,device_1,1,J2,0.04290714150059692,0.0008526759601123176,0.15,0.0,4.5,0.7071067811865476,197.0,7.0710678118654755,1264.0,4.242640687119285,0.9456666666666667,0.07683893688893818,0.00215,0.0030405591591021546,0.30112675,0.006194608956584772,0.8525,0.2085965004500315,0.85,0.0
2,common,0.0,1.35,0.15,late,device_0,0,I1,0.08598876138728297,0.0005851957620294442,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.0731,0.003394112549695427,0.497975,0.00017677669529661742,0.5,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,late,device_0,0,I2,0.06275549992144366,1.8906298306332586e-05,0.15,0.0,5.0,0.0,196.5,3.5355339059327378,1271.0,11.313708498984761,0.6546666666666667,0.028284271247461808,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
