N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,device,device_index,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,selected_v,q_final,q_max,policy_metadata_json,allocation_mean,allocation_max,allocation_nonzero_rate
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,I1,0.08487528784977146,848.7528784977145,0.0038,38,1,0,38,1.0,0,38,0.0707,0.0,0.34639882410583045,,,,{},0.4981,0.5,0.9962
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,I1,0.08591286758787406,859.1286758787405,0.0044,44,2,1,43,1.0,0,44,0.0741,0.0,0.35814403093281777,,,,{},0.4978,0.5,0.9956
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,J1,0.07089120899093726,708.9120899093726,0.0038,38,1,0,38,1.0,0,38,0.0214,0.00012564392511622062,0.10436060754532092,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.3697045,0.775,0.9962
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,J1,0.07167490575069964,716.7490575069965,0.0044,44,2,1,43,1.0,0,44,0.0225,0.0,0.10874818753020783,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.369548,0.96,0.9956
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,I2,0.04465589025714555,446.5589025714555,0.15,1500,4,187,1284,1.0,0,1500,0.0,0.0,0.0,,,,"{""budget"": 1462}",0.425,0.5,0.85
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,I2,0.04498901304076121,449.89013040761205,0.15,1500,5,186,1289,1.0,0,1500,0.0,0.0,0.0,,,,"{""budget"": 1456}",0.425,0.5,0.85
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,J2,0.041491543644303484,414.9154364430349,0.1443,1443,4,186,1231,0.9757449757449758,35,1408,0.0,0.0,0.0,,,,"{""joint"": true, ""source"": ""heuristic""}",0.3066565,1.0,0.8557
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,J2,0.04173251627179136,417.3251627179136,0.15,1500,5,177,1304,0.996,6,1494,0.0037,0.0,0.017883035282745288,,,,"{""joint"": true, ""source"": ""heuristic""}",0.304356,0.985,0.85
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,I1,0.08560971926746194,856.0971926746195,0.0043,43,1,0,43,1.0,0,43,0.0755,0.0,0.3693737769080235,,,,{},0.49785,0.5,0.9957
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,I1,0.0843345094498339,843.345094498339,0.0033,33,1,0,33,1.0,0,33,0.0717,0.0,0.3579630554168747,,,,{},0.49835,0.5,0.9967
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,J1,0.07076091909378317,707.6091909378317,0.0043,43,1,0,43,1.0,0,43,0.0219,0.0003770739064856712,0.10567514677103718,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.369413,0.955,0.9957
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,J1,0.07112783215604629,711.2783215604629,0.0033,33,1,0,33,1.0,0,33,0.0239,0.0,0.11932101847229157,,,,"{""joint"": true, ""violation_set"": ""fixed_to_I1""}",0.3665785,0.91,0.9967
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,I2,0.044369311582936284,443.69311582936285,0.15,1500,5,187,1277,1.0,0,1500,0.0,0.0,0.0,,,,"{""budget"": 1457}",0.425,0.5,0.85
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_1,1,I2,0.043793029726544926,437.93029726544927,0.15,1500,4,203,1272,1.0,0,1500,0.0,0.0,0.0,,,,"{""budget"": 1467}",0.425,0.5,0.85
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,device_0,0,J2,0.04068065661126367,406.8065661126367,0.1467,1467,5,181,1253,0.9979550102249489,3,1464,0.0,0.0,0.0,,,,"{""joint"": true, ""source"": ""heuristic""}",0.30411800000000005,1.0,0.8533
