device,rho,seed,p_bg,p_gb,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
device_0,0.0,1701,0.8,0.2,0.2041,-0.005175586574489375,0.0,0.25,0.7250446080609474,0.9995913509625767,1.3856302825284732,0
device_0,0.0,1702,0.8,0.2,0.2044,-0.0003880774600071656,0.0,0.25,0.7296536831603379,1.0073019752164938,1.3741921870194722,0
device_0,0.0,1703,0.8,0.2,0.1985,-0.001800151244794757,0.0,0.25,0.729732152651617,0.994930852395542,1.3714904667349743,0
device_0,0.375,1701,0.5,0.125,0.1923,0.3567993685572089,0.375,0.25,0.7245665932070926,0.999675960727589,1.371434619541375,0
device_0,0.375,1702,0.5,0.125,0.206,0.3967481136088381,0.375,0.25,0.7230959889134783,1.0003459696623889,1.3806181377872897,1
device_0,0.375,1703,0.5,0.125,0.2065,0.3801279914991642,0.375,0.25,0.7255194433998956,0.9965041321435901,1.3682766804789621,0
device_0,0.75,1701,0.2,0.05,0.2038,0.7377209806197738,0.75,0.25,0.726348653602443,0.9937642501147217,1.384086636100637,0
device_0,0.75,1702,0.2,0.05,0.2084,0.7526749545009777,0.75,0.25,0.7230074679868956,1.0034057924221016,1.3792906262674276,0
device_0,0.75,1703,0.2,0.05,0.2091,0.7538894198635822,0.75,0.25,0.7241454675325864,0.9978543468967278,1.3803238676663394,0
device_0,0.875,1701,0.1,0.025,0.1903,0.879585628691867,0.875,0.25,0.7213346140484583,1.001163515148582,1.3809917696651781,6
device_0,0.875,1702,0.1,0.025,0.2081,0.8762061247925789,0.875,0.25,0.7263923451906252,1.0038363484251698,1.3817079794263785,0
device_0,0.875,1703,0.1,0.025,0.1981,0.8671723478307074,0.875,0.25,0.7253505723722729,0.9968545739883624,1.375934000840641,2
device_0,0.9375,1701,0.05,0.0125,0.2008,0.9358156785945938,0.9375,0.25,0.7223998386919848,0.9998927194879339,1.3757028153808173,5
device_0,0.9375,1702,0.05,0.0125,0.2055,0.9424250777339186,0.9375,0.25,0.7262329624695181,1.0015534061121265,1.3785193508954487,0
device_0,0.9375,1703,0.05,0.0125,0.2017,0.9378932295234932,0.9375,0.25,0.7229381470657333,0.9985678417752847,1.3711577213615298,1
device_0,0.975,1701,0.020000000000000018,0.0050000000000000044,0.1992,0.9789949792069076,0.975,0.25,0.7291512832924625,1.002170148493792,1.369023790184734,0
device_0,0.975,1702,0.020000000000000018,0.0050000000000000044,0.2082,0.9760343972479407,0.975,0.25,0.7258399728180115,0.9983795483375167,1.380383119423862,3
device_0,0.975,1703,0.020000000000000018,0.0050000000000000044,0.2084,0.9681695044312846,0.975,0.25,0.7229758529924535,1.0009914721040694,1.3808894995869208,12
