device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,discard_gain_percent,targeting_gain_percent,oracle_gap_percent,online_recovery,p2prime_gap_percent
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,0.9689000060762166,1.7020942620460613,2.670994268122278,1.0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,0.07455998217653352,0.31786097664711216,0.3924209588236457,,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,5.096662143276714,8.258309197334567,13.354971340611279,1.0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,0.3610272821177646,1.6010775120004967,1.9621047941182614,,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,10.193324286553405,16.516618394669134,26.709942681222536,0.9976398104265404,0.0
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,0.7887661272355485,3.135443461000963,3.924209588236512,1.0,0.0
device_0,1,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,1.0109270248921607,1.6600672432301173,2.670994268122278,1.0,0.0
device_0,1,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,0.06671156300004129,0.3257093958236044,0.3924209588236457,,0.0
device_0,1,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,4.991594596236832,8.363376744374447,13.354971340611279,1.0,0.0
device_0,1,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,0.3845725396471974,1.577532254471064,1.9621047941182614,,0.0
device_0,1,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,10.025216211289576,16.68472646993296,26.709942681222536,0.9976398104265404,0.0
device_0,1,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,0.8397808518826273,3.0844287363538845,3.924209588236512,1.0,0.0
device_0,1,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,0.9036448300915179,1.8240956441474978,2.7277404742390154,0.9921327014218024,0.0
device_0,1,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,0.08816677741378397,0.31259130173982336,0.4007580791536073,,0.0
device_0,1,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,4.775743535513625,8.862958835681429,13.638702371195055,0.9984265402843605,0.0
device_0,1,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,0.3727050136128426,1.6310853821551492,2.0037903957679917,1.000000000000011,0.0
device_0,1,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,10.216745482422223,17.06065925996789,27.27740474239011,0.9960663507109008,0.0
device_0,1,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,0.7253721232680233,3.28220866826796,4.007580791535983,1.0,0.0
device_0,1,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,0.9680246763555129,1.7597157978835027,2.7277404742390154,0.9921327014218024,0.0
device_0,1,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,0.1001895197883878,0.3005685593652195,0.4007580791536073,,0.0
device_0,1,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,5.076182818079096,8.56251955311596,13.638702371195055,0.9984265402843605,0.0
device_0,1,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,500,0.44083388706896465,1.562956508699027,2.0037903957679917,1.000000000000011,0.0
device_0,1,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,10.173825584912876,17.103579157477235,27.27740474239011,0.9960663507109008,0.0
device_0,1,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,1000,0.7854858351410425,3.222094956394941,4.007580791535983,1.0,0.0
device_0,1,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,0.9081494867864,1.7695970435647705,2.6777465303511705,0.9921327014218065,0.0
device_0,1,1703,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,0.12195802917855587,0.2714549681716144,0.3934129973501703,,0.0
device_0,1,1703,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,5.404479324243391,7.984253327512484,13.388732651755875,0.9984265402843622,0.0
device_0,1,1703,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,0.42488603713817336,1.542178949612678,1.9670649867508516,,0.0
device_0,1,1703,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,9.945226758175368,16.832238545336406,26.77746530351177,0.9960663507109012,0.0
device_0,1,1703,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,0.7632212148593163,3.17090875864242,3.934129973501736,1.0,0.0
device_0,1,1703,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,1.0134826441414482,1.6642638862097223,2.6777465303511705,0.9921327014218065,0.0
device_0,1,1703,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,0.08261672944355206,0.31079626790661824,0.3934129973501703,,0.0
device_0,1,1703,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,5.2570129039463,8.131719747809576,13.388732651755875,0.9984265402843622,0.0
device_0,1,1703,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,0.42095190716467296,1.5461130795861786,1.9670649867508516,,0.0
device_0,1,1703,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,9.797760337878298,16.979704965633474,26.77746530351177,0.9960663507109012,0.0
device_0,1,1703,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,0.8064966445678645,3.1276333289338716,3.934129973501736,1.0,0.0
device_0,2,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,1.0710417282098963,1.5926759126704721,2.6637176408803684,0.9921327014217942,0.0
device_0,2,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,0.06261630094202228,0.3287355799455896,0.3913518808876119,,0.0
device_0,2,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,4.852258352837799,8.466329851564021,13.31858820440182,0.9937061611374411,0.0
device_0,2,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,0.38352484326988373,1.573234561168296,1.95675940443818,,0.0
device_0,2,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,9.725472967684437,16.911703441119215,26.63717640880365,0.9960663507109008,0.0
device_0,2,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,0.7866172805841426,3.126901528292228,3.9135188088763706,1.0,0.0
device_0,2,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,1.0081729421834318,1.6555446986969364,2.6637176408803684,0.9921327014217942,0.0
device_0,2,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,0.0665298197508973,0.3248220611367146,0.3913518808876119,,0.0
device_0,2,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,5.16660228297012,8.151985921431699,13.31858820440182,0.9937061611374411,0.0
device_0,2,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,0.4265735501675309,1.530185854270649,1.95675940443818,,0.0
device_0,2,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,9.809298015719719,16.827878393083928,26.63717640880365,0.9960663507109008,0.0
device_0,2,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,0.8100983934374146,3.103420415438956,3.9135188088763706,1.0,0.0
device_0,2,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,0.9847403030784118,1.672295553053825,2.6570358561322367,0.9921327014217984,0.0
device_0,2,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,0.09759254921813648,0.29277764765438763,0.3903701968725241,,0.0
device_0,2,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,4.672857182433858,8.612322098227228,13.285179280661085,0.9921327014218,0.0
device_0,2,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,0.4528294283721253,1.4990215559904296,1.9518509843625549,,0.0
device_0,2,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,10.390899085526332,16.179459475795785,26.570358561322116,0.9960663507109012,-2.1844656285045885e-14
device_0,2,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,0.7143774602767015,3.189324508448376,3.9037019687250774,0.9999999999999944,0.0
device_0,2,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,0.9220292198388943,1.7350066362933425,2.6570358561322367,0.9921327014217984,0.0
device_0,2,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,0.08978514528068907,0.300585051591835,0.3903701968725241,,0.0
device_0,2,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,5.070027376284121,8.215151904376965,13.285179280661085,0.9921327014218,0.0
device_0,2,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,0.34742947521654144,1.6044215091460134,1.9518509843625549,,0.0
device_0,2,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,9.784691947544315,16.7856666137778,26.570358561322116,0.9960663507109012,-2.1844656285045885e-14
device_0,2,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,0.7143774602767015,3.189324508448376,3.9037019687250774,0.9999999999999944,0.0
device_0,2,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,0.9860987644777912,1.73230781123179,2.718406575709581,0.9921327014217943,0.0
device_0,2,1703,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,0.07188961465621418,0.32749713343382364,0.39938674809003777,,0.0
device_0,2,1703,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,4.930493822388855,8.661539056158938,13.592032878547792,0.9952796208530806,0.0
device_0,2,1703,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,0.33548486839563263,1.661448872054534,1.9969337404501666,,0.0
device_0,2,1703,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,9.92514719334184,17.25891856375374,27.184065757095574,0.9976398104265399,0.0
device_0,2,1703,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,0.7628286888519629,3.2310387920483254,3.9938674809002888,1.0,0.0
device_0,2,1703,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,0.98609876447778,1.732307811231801,2.718406575709581,0.9921327014217943,0.0
device_0,2,1703,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,0.09185895206071998,0.3075277960293178,0.39938674809003777,,0.0
