device,L,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,selected_v_mean,selected_v_std
device_0,1,1.5,0.01,drop,P0,0.062124746666666654,0.0006964512805166933,0.01,0.0,2.0,0.0,1.6666666666666667,1.1547005383792517,0.16666666666666666,0.02081665999466132,,
device_0,1,1.5,0.01,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.01,drop,P2,0.061018079999999995,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.01,drop,P2prime,0.061018079999999995,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.01,drop,P3,0.06102693333333333,0.0007129682285581414,0.01,0.0,1.0,0.0,0.0,0.0,0.9933333333333333,0.0057735026918962545,10.0,0.0
device_0,1,1.5,0.01,late,P0,0.06264655999999999,0.0007150353233232524,0.01,0.0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.5773502691896258,0.24,0.062449979983983966,,
device_0,1,1.5,0.01,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.01,late,P2,0.06245808,0.0007174887940588425,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.01,late,P2prime,0.06245808,0.0007174887940588425,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.01,late,P3,0.06245807999999999,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
device_0,1,1.5,0.05,drop,P0,0.05951167999999999,0.0005346746360170777,0.05000000000000001,0.0,3.3333333333333335,0.5773502691896257,25.0,1.7320508075688772,0.21,0.034176014981270125,,
device_0,1,1.5,0.05,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.05,drop,P2,0.05426608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.05,drop,P2prime,0.05426608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.05,drop,P3,0.05427493333333333,0.0007129682285581393,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,0.9986666666666667,0.0011547005383792605,10.0,0.0
device_0,1,1.5,0.05,late,P0,0.062463866666666666,0.0007100369177256478,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,25.0,0.0,0.19533333333333333,0.017925772879665004,,
device_0,1,1.5,0.05,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.05,late,P2,0.06146608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.05,late,P2prime,0.06146608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.05,late,P3,0.061466079999999985,0.0007174887940588409,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3700.0,5474.486277268397
device_0,1,1.5,0.1,drop,P0,0.05636154666666667,0.0006939144170092798,0.10000000000000002,0.0,3.6666666666666665,0.5773502691896258,88.0,8.660254037844387,0.20666666666666667,0.006658328118479387,,
device_0,1,1.5,0.1,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.1,drop,P2,0.04582608,0.0007174887940588346,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.1,drop,P2prime,0.04582608,0.0007174887940588346,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.1,drop,P3,0.045883626666666656,0.0007085017943049484,0.10000000000000002,0.0,4.0,0.0,1.3333333333333333,0.5773502691896257,0.9956666666666667,0.0011547005383792605,100.0,0.0
device_0,1,1.5,0.1,late,P0,0.062229919999999994,0.0006930718034951427,0.10000000000000002,0.0,4.0,1.0,102.33333333333333,4.932882862316246,0.19200000000000003,0.010148891565092228,,
device_0,1,1.5,0.1,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,1.5,0.1,late,P2,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.1,late,P2prime,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,1.5,0.1,late,P3,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0
device_0,1,2.0,0.01,drop,P0,0.06208048,0.0006946341356426362,0.01,0.0,1.6666666666666667,0.5773502691896258,1.0,1.0,0.19999999999999998,0.017320508075688773,,
device_0,1,2.0,0.01,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.01,drop,P2,0.061018079999999995,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.01,drop,P2prime,0.061018079999999995,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.01,drop,P3,0.06102693333333333,0.0007129682285581414,0.01,0.0,1.0,0.0,0.0,0.0,0.9933333333333333,0.0057735026918962545,10.0,0.0
device_0,1,2.0,0.01,late,P0,0.062654,0.0007265883280097406,0.01,0.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0.21,0.03999999999999999,,
