device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,e421bc094b4a72f1d016fa09bff787063070f6b098dc525977a3a57c6ce6e1de
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,1a0ee7e6b75e8d2ad3929af42110ecda221942c469f32b4128ff797b466ca934
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,c9526ec90921649b51aa2d7db5d35250e95fb5dea0d98ca855934be4f726dcdf
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,8f4bde9a0f1b7501f5223b4fad331af17d8dc9d7d20d05af56fecf99156aca2f
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,153e89b3b66761fdffcf8552ae3e4c7a2564ff03c5a69500fb63e240f1ec9752
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,26c0f8dedfc5b91a4e77f158744b34b7a32224aaa0a95d0be69f1f327b4806cb
device_0,1,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,834d4c6302b6ca4404494cf6ac38f3b50261086dd9024bcbcce72261eacd8195
device_0,1,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,980a5879c6806bb0630c4ab5d10dc84140770c22de8eb07372b75e0a62db9203
device_0,1,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,1596fa366fcc9ff04f71014c4f0bb13402f249d70cf883900b96403aa6ef5b4f
device_0,1,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,01581c94070bc7ba6a63811ae59baf4171f8b9f2ef28189fa236de61aaed30a1
device_0,1,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,1c7385dcbb1484c3f747891d4e19d8b6971e5b94eed77ccf1c4d0fe309c30e67
device_0,1,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,ad1787a7e84943b85d98e4a6bf10bb6ae513a9e8b495152057d6a4feb5b20b6d
device_0,1,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,d806e43e27f1b958751265b94e14fe6f4c6467292b4cf979f3b80663ddd34355
device_0,1,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0,100,ff85801f48b87c7cb5206969ede587f42c1b9cc4ebe3bddc2ed0a570db6002e5
