device,rho,seed,deadline_ratio,deadline_ms,skip_mode,saving_p10_j,saving_p50_j,saving_p90_j,saving_unique_count,saving_feasible_unique_count,saving_degenerate,warning
device_0,0.0,1701,1.1,39.6495,drop,0.02258013116341143,0.14737237300158076,0.38256443761505543,9226,9225,False,
device_0,0.0,1701,1.1,39.6495,late,0.0,0.09973333336015125,0.27659507451599075,5463,5463,False,
device_0,0.0,1701,1.2,43.254,drop,0.025448929982068193,0.03808608244711302,0.3856209016528925,9627,9626,False,
device_0,0.0,1701,1.2,43.254,late,0.0,0.0,0.2662027845973507,4397,4397,False,
device_0,0.0,1701,1.35,48.66075000000001,drop,0.026614372431113708,0.03879991486776643,0.38731453477128475,9873,9872,False,
device_0,0.0,1701,1.35,48.66075000000001,late,0.0,0.0,0.233658295274728,3093,3093,False,
device_0,0.0,1701,1.5,54.0675,drop,0.026859550723740255,0.03899011499418248,0.1637558349599021,9935,9934,False,
device_0,0.0,1701,1.5,54.0675,late,0.0,0.0,0.06718039168160557,2383,2383,False,
device_0,0.0,1701,2.0,72.09,drop,0.02693113308140424,0.03904454636935963,0.16391051790290206,9945,9945,False,
device_0,0.0,1701,2.0,72.09,late,0.0,0.0,0.04323519997613131,1830,1830,False,
device_0,0.0,1702,1.1,39.6495,drop,0.022869926879681268,0.147337114807012,0.3824746474384582,9231,9230,False,
device_0,0.0,1702,1.1,39.6495,late,0.0,0.09879462824143061,0.27631410049715643,5342,5342,False,
device_0,0.0,1702,1.2,43.254,drop,0.02571034559967427,0.03798889318564812,0.38572958761840065,9627,9626,False,
device_0,0.0,1702,1.2,43.254,late,0.0,0.0,0.26641046771940863,4365,4365,False,
device_0,0.0,1702,1.35,48.66075000000001,drop,0.026685396326426303,0.038719293886366676,0.3872363879536138,9859,9858,False,
device_0,0.0,1702,1.35,48.66075000000001,late,0.0,0.0,0.23401545508611254,3070,3070,False,
device_0,0.0,1702,1.5,54.0675,drop,0.026985558059011167,0.03891257911592655,0.16373198659195756,9925,9924,False,
device_0,0.0,1702,1.5,54.0675,late,0.0,0.0,0.06723272216301175,2380,2380,False,
device_0,0.0,1702,2.0,72.09,drop,0.027105154453400192,0.039010778963227404,0.16389117656453858,9938,9938,False,
device_0,0.0,1702,2.0,72.09,late,0.0,0.0,0.04349053368664948,1828,1828,False,
device_0,0.0,1703,1.1,39.6495,drop,0.022837243533405063,0.1473886545631185,0.3820258161106537,9220,9219,False,
device_0,0.0,1703,1.1,39.6495,late,0.0,0.09950665645198326,0.2740515376657412,5440,5440,False,
device_0,0.0,1703,1.2,43.254,drop,0.02561992653828262,0.03820348103124212,0.38568350691565934,9621,9620,False,
device_0,0.0,1703,1.2,43.254,late,0.0,0.0,0.2641503742558551,4416,4416,False,
device_0,0.0,1703,1.35,48.66075000000001,drop,0.026836612548838602,0.03895062162247504,0.38746104267462894,9883,9882,False,
device_0,0.0,1703,1.35,48.66075000000001,late,0.0,0.0,0.23667823501309523,3090,3090,False,
device_0,0.0,1703,1.5,54.0675,drop,0.02702471579081409,0.03910920272087959,0.16396881132292568,9934,9933,False,
device_0,0.0,1703,1.5,54.0675,late,0.0,0.0,0.0674842790809242,2356,2356,False,
device_0,0.0,1703,2.0,72.09,drop,0.02710257159411113,0.03917074538309165,0.16412725955855076,9944,9944,False,
device_0,0.0,1703,2.0,72.09,late,0.0,0.0,0.041484919793754724,1827,1827,False,
device_0,0.375,1701,1.1,39.6495,drop,0.02355477085961664,0.14738771621985228,0.38229760761538656,9306,9305,False,
device_0,0.375,1701,1.1,39.6495,late,0.0,0.10003332000064794,0.276087522986143,5488,5488,False,
device_0,0.375,1701,1.2,43.254,drop,0.025759438468792372,0.037977666545310304,0.3850893986742638,9643,9642,False,
device_0,0.375,1701,1.2,43.254,late,0.0,0.0,0.2649572277709928,4352,4352,False,
device_0,0.375,1701,1.35,48.66075000000001,drop,0.026892007726674317,0.03876540739845505,0.386925169188531,9880,9879,False,
device_0,0.375,1701,1.35,48.66075000000001,late,0.0,0.0,0.22872239151276189,3021,3021,False,
device_0,0.375,1701,1.5,54.0675,drop,0.027207220059843502,0.03897335258197265,0.16339330886361522,9939,9938,False,
