device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,2,3,22,0.2222222222222222
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,3,5,34,0.3434343434343434
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,5,10,36,0.36363636363636365
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,10,20,5,0.050505050505050504
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,20,50,2,0.020202020202020204
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,2,3,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,3,5,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,5,10,1,0.010101010101010102
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,10,20,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,20,50,1,0.010101010101010102
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,50,100,38,0.3838383838383838
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,100,250,59,0.5959595959595959
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,2,3,22,0.2222222222222222
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,3,5,34,0.3434343434343434
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,5,10,36,0.36363636363636365
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,10,20,5,0.050505050505050504
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,20,50,2,0.020202020202020204
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P2,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,2,3,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,3,5,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,5,10,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,10,20,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,20,50,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,50,100,42,0.42424242424242425
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,100,250,57,0.5757575757575758
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,100,P3,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,2,3,122,0.24448897795591182
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,3,5,158,0.3166332665330661
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,5,10,179,0.3587174348697395
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,10,20,36,0.07214428857715431
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,20,50,4,0.008016032064128256
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,2,3,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,3,5,4,0.008016032064128256
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,5,10,11,0.022044088176352707
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,10,20,209,0.4188376753507014
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,20,50,275,0.5511022044088176
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,2,3,122,0.24448897795591182
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,3,5,158,0.3166332665330661
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,5,10,179,0.3587174348697395
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,10,20,36,0.07214428857715431
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,20,50,4,0.008016032064128256
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P2,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,2,3,2,0.004008016032064128
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,3,5,2,0.004008016032064128
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,5,10,12,0.02404809619238477
device_0,1,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,500,P3,10,20,202,0.40480961923847697
