device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std,selected_v_mean,selected_v_std
device_0,0.0,1.1,0.15,drop,P0,0.11822924905985685,0.0007249781894648947,0.15,0.0,4.5,0.7071067811865476,203.0,8.48528137423857,0.5529999999999999,0.0032998316455372903,0.14375,0.0009192388155425185,0.028212580614412057,0.0015181480617496694,0.5938810883732792,0.002001585879641435,,
device_0,0.0,1.1,0.15,drop,P1,0.12880063724192004,0.0007550514505632004,0.07239999999999999,0.00042426406871192595,3.0,0.0,58.0,1.4142135623730951,1.0,0.0,0.1565,0.0009899494936611753,0.03097712598333427,0.0004525600142590268,0.6455311658936997,0.0024453280959935526,,
device_0,0.0,1.1,0.15,drop,P2,0.0987571078825813,0.0009205178772226826,0.15,0.0,4.5,0.7071067811865476,190.5,4.949747468305833,1.0,0.0,0.0789,0.0005656854249492346,0.03097712598333427,0.0004525600142590268,0.26560547906852766,0.0007627349020566205,,
device_0,0.0,1.1,0.15,drop,P2prime,0.09880540526242801,0.000916950896807745,0.15,0.0,3.0,0.0,58.0,1.4142135623730951,1.0,0.0,0.0789,0.0005656854249492346,0.03097712598333427,0.0004525600142590268,0.26560547906852766,0.0007627349020566205,,
device_0,0.0,1.1,0.15,drop,P3,0.09964439366693864,0.0009718245198120462,0.1503,0.0,3.5,0.7071067811865476,158.5,3.5355339059327378,0.9055222887558216,0.006586490310453514,0.0817,0.00042426406871193576,0.01702816300053612,0.0015151665056560243,0.3336618882382777,0.0041547017598249115,10.0,0.0
device_0,0.0,1.1,0.15,late,P0,0.13275634727951868,0.0011429407345850797,0.15,0.0,4.0,0.0,205.5,0.7071067811865476,0.5583333333333333,0.006128258770283365,0.1431,0.0008485281374238715,0.02840085699390371,0.00017014970111937157,0.5899653962650211,0.004074699343431451,,
device_0,0.0,1.1,0.15,late,P1,0.13992486933878556,0.0008014920729391512,0.07239999999999999,0.00042426406871192595,3.0,0.0,58.0,1.4142135623730951,1.0,0.0,0.1565,0.0009899494936611753,0.03097712598333427,0.0004525600142590268,0.6455311658936997,0.0024453280959935526,,
device_0,0.0,1.1,0.15,late,P2,0.11664059846846186,0.0009401796421204849,0.15,0.0,4.5,0.7071067811865476,192.0,9.899494936611665,0.8356666666666667,0.002357022603955213,0.0789,0.0005656854249492346,0.0,0.0,0.3862900797832305,0.0023683766192082907,,
device_0,0.0,1.1,0.15,late,P2prime,0.1169204346037209,0.0009458257003178676,0.15,0.0,3.0,0.0,58.0,1.4142135623730951,0.8616666666666667,0.004242640687119289,0.0789,0.0005656854249492346,0.004900989554877495,0.00035413516253846744,0.3671951031256502,0.0037729953155068016,,
device_0,0.0,1.1,0.15,late,P3,0.11850678547324874,0.0010532025009786072,0.15025,7.071067811864696e-05,3.0,0.0,166.0,1.4142135623730951,0.8642247240981862,0.006652580735387227,0.08460000000000001,0.0002828427124746222,0.012818191345275003,0.0007143004385247557,0.36426183972209625,0.0045326792779552035,10.0,0.0
