device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,selected_v,q_final,q_max,policy_metadata_json
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P1,0.12933453924275803,1293.3453924275802,0.0727,727,3,57,666,1.0,0,727,0.1558,0.030657117728357833,0.6438020578147967,,,,{}
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P0,0.11874188605383981,1187.4188605383981,0.15,1500,4,209,1261,0.5506666666666666,674,826,0.1431,0.027139087825103655,0.595296423321901,,,,"{""budget"": 773}"
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,0.0994080123157689,994.080123157689,0.15,1500,4,187,1287,1.0,0,1500,0.0785,0.030657117728357833,0.26506614404703577,,,,"{""budget"": 773}"
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,0.09945378745957585,994.5378745957585,0.15,1500,3,57,1439,1.0,0,1500,0.0785,0.030657117728357833,0.26506614404703577,,,,"{""budget"": 773, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,0.10033157737502109,1003.3157737502108,0.1503,1503,3,156,1333,0.9008649367930806,149,1354,0.0814,0.01595677848976002,0.3365997060264576,10.0,2.9999999999990172,8.099999999999051,"{""calibrated_violation_rate"": 0.1503, ""candidate_rates"": {""10.0"": 0.1503, ""100.0"": 0.1517, ""1000.0"": 0.169, ""10000.0"": 0.2075}, ""horizon_budget_cap"": 1500, ""q_final"": 2.9999999999990172, ""q_max"": 8.099999999999051, ""selected_v"": 10.0}"
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P1,0.1404916098186281,1404.916098186281,0.0727,727,3,57,666,1.0,0,727,0.1558,0.030657117728357833,0.6438020578147967,,,,{}
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P0,0.1335645284234381,1335.645284234381,0.15,1500,4,206,1261,0.554,669,831,0.1437,0.028521171001382083,0.5928466438020578,,,,"{""budget"": 773}"
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,0.11730540586893881,1173.054058689388,0.15,1500,4,199,1268,0.8373333333333334,244,1256,0.0785,0.0,0.38461538461538464,,,,"{""budget"": 773}"
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,0.11758923437023618,1175.8923437023618,0.15,1500,3,57,1439,0.8646666666666667,203,1297,0.0785,0.005151400929765046,0.36452719255267024,,,,"{""budget"": 773, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,0.11925151210365334,1192.5151210365334,0.1502,1502,3,167,1318,0.859520639147803,211,1291,0.0848,0.012313104661389622,0.3674669279764821,10.0,2.7500000000004268,6.850000000000382,"{""calibrated_violation_rate"": 0.1502, ""candidate_rates"": {""10.0"": 0.1502, ""100.0"": 0.1511, ""1000.0"": 0.1629, ""10000.0"": 0.2039}, ""horizon_budget_cap"": 1500, ""q_final"": 2.7500000000004268, ""q_max"": 6.850000000000382, ""selected_v"": 10.0}"
