device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,check,passed,detail,severity
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2_le_P2prime,True,0.0994080123 <= 0.0994537875,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2prime_le_P3,True,0.0994537875 <= 0.100331577,diagnostic
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2_le_P0,True,0.0994080123 <= 0.118741886,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P0_le_P1,True,0.118741886 <= 0.129334539,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P3_within_budget,True,0.1503 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,P1_equals_forced,True,0.0727 == 0.0727,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2_le_P2prime,True,0.117305406 <= 0.117589234,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2prime_le_P3,True,0.117589234 <= 0.119251512,diagnostic
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P2_le_P0,True,0.117305406 <= 0.133564528,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,energy_P0_le_P1,True,0.133564528 <= 0.14049161,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,violation_P3_within_budget,True,0.1502 <= 0.155,required
device_0,0.0,1701.0,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727.0,773.0,P1_equals_forced,True,0.0727 == 0.0727,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P2prime,True,0.0922624093 <= 0.0922884847,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2prime_le_P3,True,0.0922884847 <= 0.0925750482,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P0,True,0.0922624093 <= 0.110702554,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P0_le_P1,True,0.110702554 <= 0.11860789,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P3_within_budget,True,0.1001 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P2prime,True,0.104827121 <= 0.104907173,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2prime_le_P3,True,0.104907173 <= 0.105774889,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P0,True,0.104827121 <= 0.11919399,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P0_le_P1,True,0.11919399 <= 0.12412017,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P3_within_budget,True,0.1001 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P2prime,True,0.0729560053 <= 0.0730418994,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2prime_le_P3,True,0.0730418994 <= 0.0749369904,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P0,True,0.0729560053 <= 0.105040049,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P0_le_P1,True,0.105040049 <= 0.11860789,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P3_within_budget,True,0.1501 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P2prime,True,0.0914006331 <= 0.0917516356,required
